¦¸¼Æ,time
NCB
100,flows
1,544
2,525
3,542
4,530
5,549
6,615
7,596
8,568
9,620
10,549
11,585
12,566
13,586
14,541
15,588
16,591
17,527
18,582
19,632
20,556
140,flows
1,703
2,700
3,689
4,707
5,736
6,682
7,659
8,812
9,699
10,779
11,757
12,786
13,730
14,812
15,776
16,756
17,764
18,693
19,800
20,704
180,flows
1,910
2,896
3,908
4,937
5,991
6,1000
7,938
8,918
9,825
10,1153
11,940
12,871
13,955
14,779
15,846
16,960
17,857
18,975
19,919
20,944
220,flows
1,1008
2,1061
3,1079
4,1107
5,1116
6,1032
7,1178
8,1207
9,1047
10,1214
11,1154
12,1099
13,1086
14,1022
15,1146
16,1134
17,1154
18,1025
19,938
20,1096
260,flows
1,1453
2,1308
3,1229
4,1327
5,1253
6,1435
7,1288
8,1375
9,1165
10,1292
11,1403
12,1252
13,1290
14,1290
15,1282
16,1220
17,1298
18,1457
19,1137
20,1370
PB
100,flows
1,793
2,760
3,820
4,845
5,801
6,951
7,865
8,773
9,875
10,777
11,843
12,760
13,781
14,771
15,776
16,773
17,773
18,812
19,870
20,806
140,flows
1,1016
2,1004
3,961
4,1023
5,1101
6,1035
7,933
8,1080
9,923
10,1054
11,1034
12,1067
13,963
14,1036
15,1059
16,1008
17,1015
18,1007
19,1068
20,989
180,flows
1,1211
2,1225
3,1203
4,1253
5,1283
6,1209
7,1219
8,1185
9,1177
10,1364
11,1214
12,1199
13,1259
14,1080
15,1138
16,1245
17,1226
18,1276
19,1275
20,1218
220,flows
1,1392
2,1412
3,1435
4,1419
5,1422
6,1385
7,1481
8,1493
9,1378
10,1563
11,1546
12,1475
13,1386
14,1365
15,1521
16,1437
17,1451
18,1391
19,1305
20,1392
260,flows
1,1839
2,1631
3,1577
4,1692
5,1606
6,1719
7,1569
8,1741
9,1541
10,1667
11,1714
12,1660
13,1605
14,1655
15,1657
16,1580
17,1639
18,1730
19,1501
20,1697
STB
100,flows
1,1070
2,922
3,892
4,982
5,944
6,1090
7,1016
8,989
9,1001
10,924
11,1081
12,972
13,976
14,1023
15,1008
16,1011
17,992
18,1019
19,1184
20,1030
140,flows
1,1321
2,1281
3,1267
4,1247
5,1399
6,1418
7,1247
8,1470
9,1297
10,1454
11,1323
12,1452
13,1405
14,1383
15,1367
16,1321
17,1323
18,1341
19,1376
20,1280
180,flows
1,1656
2,1693
3,1637
4,1596
5,1681
6,1675
7,1699
8,1597
9,1580
10,1973
11,1721
12,1643
13,1611
14,1519
15,1640
16,1657
17,1537
18,1676
19,1752
20,1651
220,flows
1,1794
2,1808
3,1968
4,1925
5,2090
6,1896
7,2122
8,2054
9,1942
10,2043
11,2009
12,1933
13,1918
14,1916
15,2077
16,1953
17,2098
18,1874
19,1760
20,1912
260,flows
1,2592
2,2296
3,2234
4,2252
5,2256
6,2376
7,2214
8,2467
9,2052
10,2334
11,2524
12,2400
13,2229
14,2311
15,2239
16,2141
17,2233
18,2466
19,2218
20,2294
JDPS
100,flows
1,828
2,941
3,967
4,895
5,912
6,1115
7,999
8,869
9,974
10,873
11,1018
12,869
13,953
14,922
15,905
16,901
17,838
18,884
19,1023
20,985
140,flows
1,1171
2,1204
3,1179
4,1115
5,1250
6,1212
7,1021
8,1349
9,1150
10,1216
11,1220
12,1273
13,1200
14,1174
15,1218
16,1175
17,1178
18,1196
19,1294
20,1115
180,flows
1,1441
2,1453
3,1419
4,1514
5,1612
6,1519
7,1502
8,1438
9,1326
10,1715
11,1425
12,1524
13,1579
14,1295
15,1494
16,1470
17,1367
18,1466
19,1561
20,1451
220,flows
1,1665
2,1649
3,1714
4,1712
5,1750
6,1666
7,1719
8,1818
9,1708
10,2030
11,1812
12,1712
13,1699
14,1696
15,1830
16,1839
17,1794
18,1730
19,1536
20,1692
260,flows
1,2325
2,1976
3,1958
4,2018
5,1984
6,2147
7,1933
8,2081
9,1927
10,2011
11,2124
12,1959
13,2064
14,1887
15,1958
16,1985
17,2034
18,2189
19,1882
20,2088
FS
100,flows
1,945
2,936
3,990
4,959
5,1021
6,1088
7,1089
8,915
9,1051
10,924
11,1076
12,1090
13,1033
14,1050
15,1057
16,1010
17,989
18,1049
19,1051
20,1018
140,flows
1,1321
2,1231
3,1364
4,1260
5,1371
6,1331
7,1236
8,1436
9,1346
10,1375
11,1264
12,1424
13,1311
14,1459
15,1454
16,1315
17,1334
18,1332
19,1444
20,1355
180,flows
1,1664
2,1578
3,1665
4,1674
5,1739
6,1785
7,1677
8,1693
9,1620
10,1945
11,1757
12,1589
13,1675
14,1458
15,1688
16,1649
17,1574
18,1674
19,1724
20,1621
220,flows
1,1733
2,1806
3,1962
4,2026
5,1998
6,1917
7,2072
8,2062
9,1849
10,2073
11,2101
12,1850
13,1935
14,1855
15,2042
16,1994
17,1988
18,1897
19,1866
20,1901
260,flows
1,2511
2,2205
3,2226
4,2301
5,2271
6,2399
7,2246
8,2362
9,2104
10,2297
11,2544
12,2225
13,2260
14,2203
15,2228
16,2105
17,2259
18,2383
19,2251
20,2245
