¦¸¼Æ,time
NCB
100,flows
1,0.5119951000669971
2,0.38945930008776486
3,0.588039799942635
4,0.4559316999511793
5,1.013444000040181
6,1.3167612999677658
7,0.9502557000378147
8,0.2786816000007093
9,0.5171022999566048
10,0.6720635999226943
11,0.9925098000094295
12,0.3854843999724835
13,0.485897499951534
14,0.7996334000490606
15,0.6362295999424532
16,0.3308368999278173
17,1.0561816000845283
18,0.7412578000221401
19,0.8881415000651032
20,0.9006165000610054
140,flows
1,1.0911611000774428
2,0.9500150999519974
3,1.1370793998939916
4,1.0286867000395432
5,2.7964712000684813
6,1.3309650000883266
7,0.7830971999792382
8,1.0034793000668287
9,0.6939550000242889
10,2.37936590006575
11,2.064643200021237
12,1.6453873999416828
13,1.1236835999879986
14,1.857465700013563
15,2.2058713000733405
16,1.3824626000132412
17,1.092215400072746
18,1.65812909998931
19,3.5758000999921933
20,1.8743586000055075
180,flows
1,3.2155195999657735
2,2.7685513000469655
3,2.046335299964994
4,2.6191322999075055
5,5.097249400103465
6,3.8910005000652745
7,3.3151975999353454
8,2.4318703999742866
9,2.4656901999842376
10,4.819660500041209
11,3.354152000043541
12,2.2881027000257745
13,2.1490670000202954
14,1.9972763999830931
15,2.671781500102952
16,4.176335999974981
17,3.7523890000302345
18,4.07171379995998
19,5.355008500046097
20,5.02632300008554
220,flows
1,5.579454899998382
2,4.34909020003397
3,3.1973963000345975
4,4.661897699930705
5,6.0812472000252455
6,5.231155599933118
7,9.579387599951588
8,7.096010599983856
9,5.5274245999753475
10,6.56491009995807
11,5.5443960999837145
12,3.683623099932447
13,4.37649490009062
14,5.474461899953894
15,9.014089099946432
16,5.916154200094752
17,8.48323909996543
18,5.249266500002705
19,3.840347900055349
20,5.74579299998004
260,flows
1,16.25339610001538
2,6.926894100033678
3,5.011579199926928
4,7.067336299922317
5,9.01849189994391
6,8.995265700039454
7,8.921830699895509
8,5.374670399934985
9,8.081387100042775
10,8.661721199983731
11,9.082407800015062
12,7.923498900025152
13,10.332469700020738
14,10.386465399991721
15,11.07540779991541
16,9.073990499950014
17,9.789496600045823
18,14.157410499989055
19,6.76669600000605
20,13.137499200063758
PB
100,flows
1,1.8938845000229776
2,2.2355695000151172
3,2.7617170000448823
4,2.7472880999557674
5,3.412712199962698
6,5.145288100000471
7,4.37730160006322
8,1.6005834999959916
9,3.419740300043486
10,2.947777000023052
11,3.5618805000558496
12,1.5965670000296086
13,2.4082388998940587
14,3.102174500003457
15,2.379430500091985
16,2.6458560000173748
17,3.001802899991162
18,3.816317299962975
19,4.155163999996148
20,2.8884712998988107
140,flows
1,4.960795599967241
2,3.3909258999628946
3,3.07419369998388
4,4.802458200021647
5,8.921301000053063
6,5.609357699984685
7,5.6863575000315905
8,4.624798499979079
9,3.544581299996935
10,8.984183000051416
11,8.2216625000583
12,5.867296000011265
13,5.184021399938501
14,9.091529599973
15,8.087854900048114
16,7.433416599989869
17,7.164472099975683
18,6.000230700010434
19,6.899188800016418
20,6.663048400077969
180,flows
1,10.636387899983674
2,8.25615209992975
3,8.97486650000792
4,7.284368299995549
5,13.354595100041479
6,12.740716799977235
7,11.359384199953638
8,6.480715700075962
9,11.548558700014837
10,18.443810099968687
11,7.966488900012337
12,6.27066909999121
13,6.436449500033632
14,8.163659600075334
15,8.91943380003795
16,15.335528700030409
17,14.842709899996407
18,12.063909000018612
19,13.092040000017732
20,11.517479399917647
220,flows
1,17.376568800071254
2,10.396428999956697
3,11.895810800022446
4,11.745461800019257
5,22.598391800071113
6,21.550943200010806
7,21.239672900061123
8,13.33944419992622
9,13.928212000057101
10,25.265900400001556
11,13.651621700031683
12,13.604207399999723
13,11.760099800070748
14,17.575528600020334
15,20.580870699952357
16,15.902604599948972
17,16.308470999938436
18,19.503472299897112
19,14.192491099936888
20,21.791685900068842
260,flows
1,39.185134800034575
2,19.297817699960433
3,17.77678190008737
4,20.997015100088902
5,27.231492599938065
6,26.916745699942112
7,20.13410989998374
8,25.106941999983974
9,19.457494499976747
10,30.86864949995652
11,21.908510999986902
12,17.401814899989404
13,17.21483489999082
14,27.545921899960376
15,33.82131559995469
16,26.018385999952443
17,32.746182399918325
18,32.33212670008652
19,20.58010020002257
20,38.34989279997535
STB
100,flows
1,4.664425099967048
2,3.89509319991339
3,4.587985699996352
4,5.2432899998966604
5,6.370482200058177
6,9.615667799953371
7,6.8620055000064895
8,3.0887799999909475
9,4.71715109993238
10,5.559126199921593
11,6.778703199932352
12,3.6006288999924436
13,4.5182412000140175
14,6.694481099955738
15,5.543507799971849
16,6.805834500002675
17,6.5526349999709055
18,6.697879399987869
19,7.702673499938101
20,7.565020500100218
140,flows
1,10.791627999977209
2,9.5144192998996
3,8.488517299992964
4,10.212190599995665
5,17.667439799988642
6,15.74131379998289
7,10.833995699998923
8,9.063366399961524
9,8.388969099964015
10,16.937023999984376
11,13.513501500012353
12,14.701218799920753
13,12.906301900045946
14,15.628102399990894
15,18.755477200029418
16,14.656399700092152
17,18.86828279995825
18,12.102318299934268
19,26.889368299976923
20,15.3384782000212
180,flows
1,27.64577589998953
2,26.141029199934565
3,17.107990200049244
4,22.513035799958743
5,31.396220299997367
6,26.80258809996303
7,31.10098410001956
8,19.198943400057033
9,25.572413100046106
10,40.00918189994991
11,32.98045719997026
12,19.637507899897173
13,20.86838560004253
14,20.335505500086583
15,25.96291050000582
16,33.45157289993949
17,25.78629209997598
18,32.91641519998666
19,38.21979229990393
20,28.867858899990097
220,flows
1,46.66997010004707
2,27.949703700025566
3,36.6567469999427
4,34.82698769995477
5,53.699400300043635
6,46.96056799998041
7,57.20758409996051
8,38.133658300037496
9,48.85096130007878
10,79.35710510006174
11,31.599659399944358
12,36.19730810006149
13,39.31280999991577
14,44.225632899906486
15,60.67313790007029
16,41.631849900004454
17,65.36055990005843
18,52.02407519996632
19,39.93715090001933
20,49.34857490006834
260,flows
1,100.45845740009099
2,54.9002429000102
3,47.45810429996345
4,47.41329559998121
5,77.10966730001383
6,75.14399919996504
7,47.30509520007763
8,44.62338479992468
9,56.40533600002527
10,87.75341360003222
11,67.37670849997085
12,59.01130310003646
13,48.356838000006974
14,73.37498919991776
15,79.50405830005184
16,82.27573329990264
17,76.71428360010032
18,91.11942910007201
19,55.33116029994562
20,84.5347797999857
JDPS
100,flows
1,2.6188173999544233
