¦¸¼Æ,time
NCB
100,flows
1,2.595267799999988
2,4.137883100000181
3,4.458825899999738
4,5.842354299999897
5,7.85601349999979
6,5.099713300000076
7,5.171747099999266
8,4.884711400000015
9,3.9429838999985805
10,4.702238799998668
11,2.160367000000406
12,2.866919699999926
13,3.0499134000001504
14,3.107899399999951
15,2.1001459999988583
16,2.56794439999976
17,4.374827100000402
18,3.2479144999997516
19,2.1717534999988857
20,1.9794234999972105
140,flows
1,8.452909500000032
2,9.840817400000105
3,12.700869000000239
4,11.32377970000016
5,18.90156239999942
6,22.492586800000026
7,16.964676900000995
8,9.797917399999278
9,11.473911400000361
10,7.4596118999998
11,6.356516799998644
12,8.259494400001131
13,7.214467900001182
14,8.480144999999538
15,9.84710989999985
16,7.364966600000116
17,5.26537449999887
18,6.362177200000588
19,7.243787799998245
20,5.181908900001872
180,flows
1,12.283389199999988
2,26.050906999999825
3,32.31061460000001
4,45.09313699999984
5,55.94150400000035
6,32.743480299999646
7,24.113806499999555
8,26.667663899999752
9,13.175198999999338
10,15.448512500001016
11,16.661123699999735
12,10.533074799999667
13,18.808398600000146
14,11.373057999999219
15,17.018143600000258
16,20.67106000000058
17,8.412345199998526
18,16.245827399998234
19,23.44863620000251
20,9.636196100000234
220,flows
1,32.62255870000001
2,58.892687399999886
3,80.07137850000026
4,53.22016279999934
5,39.27799750000031
6,40.64780549999978
7,45.1707265999994
8,29.329003900000316
9,39.92720100000042
10,30.16421199999968
11,28.526428600000145
12,28.88594430000012
13,26.539977800000997
14,39.09955949999858
15,22.027481300001455
16,18.464072899998428
17,32.34902140000122
18,26.801687400002265
19,22.81129299999884
20,22.267129799998656
260,flows
1,38.23273280000001
2,67.14016510000033
3,81.94422750000012
4,99.15254980000009
5,64.78762200000074
6,89.47121020000031
7,89.0238644000001
8,58.32531730000119
9,44.19104430000152
10,43.3704615000006
11,50.418784100000266
12,43.01530880000064
13,35.37901149999925
14,57.811152799999036
15,42.398877300000095
16,45.54467519999889
17,32.279544500001066
18,49.06995700000334
19,46.38519500000257
20,45.139385099999345
PB
100,flows
1,4.176503600000046
2,4.849059300000135
3,6.027386600000227
4,8.014766100000088
5,6.961552200000369
6,8.660106999999698
7,4.5913958000001
8,6.864813399999548
9,4.187154299999747
10,4.925221999999849
11,3.2163186999987374
12,3.7012199999990116
13,4.111823100000038
14,4.045163499999035
15,3.465402100000574
16,5.127040700001089
17,4.728855800000019
18,3.89109919999828
19,3.5441095999995014
20,3.7005874999995285
140,flows
1,9.655612399999995
2,17.584511599999814
3,16.21555330000001
4,11.558558299999277
5,17.78941120000036
6,13.456981700000142
7,19.79773919999934
8,16.941867399998955
9,10.625068600000304
10,7.043656400001055
11,6.578501100000722
12,7.167824199999814
13,7.828127800001312
14,7.6198330000006536
15,10.756739800001014
16,7.283130599998913
17,6.061367300000711
18,7.438416400000278
19,12.130343299999367
20,6.953425899999274
180,flows
1,11.505757300000027
2,28.947161600000072
3,19.454842899999676
4,34.87902250000025
5,39.267089099999794
6,23.67136709999977
7,22.766485100000864
8,22.495671200000288
9,16.33668779999971
10,18.77684330000011
11,12.761822499998743
12,13.943266199999925
13,17.790849899998648
14,14.928390799999761
15,16.04743840000083
16,13.552208600000085
17,13.620211699999345
18,14.579693700001371
19,18.51388080000106
20,8.981239500000811
220,flows
1,22.913756900000067
2,41.16358490000016
3,48.937175500000194
4,43.904774099999486
5,40.323835499999404
6,42.00877609999952
7,37.231474099999105
8,24.966495499998928
9,26.81197930000053
10,21.259045000000697
11,23.734555299999556
12,26.014174600000842
13,21.193071400000917
14,28.039222999999765
15,16.702209299999595
16,17.82932310000251
17,23.124808100001246
18,25.86310599999706
19,16.771186000001762
20,19.099463399998058
260,flows
1,29.202183099999957
2,48.42441340000005
3,66.35850320000009
4,72.50911599999927
5,52.373893699999826
6,67.42167299999983
7,57.11992680000003
8,35.311206200000015
9,34.46136740000111
10,37.556675100000575
11,30.694277299999158
12,33.32553619999999
13,23.70564269999886
14,30.06462250000004
15,32.064542700001766
16,34.30899370000043
17,24.599148799999966
18,30.82426090000081
19,35.494218199997704
20,33.46717310000167
STB
100,flows
1,12.358864200000028
2,12.790604300000041
3,12.714898299999732
4,16.887098400000013
5,17.552145600000586
6,13.302403400000003
7,15.006866000001537
8,15.273359800001344
9,11.851767699999982
10,6.827173200001198
11,9.325120600000446
12,6.4396317999999155
13,7.810458400001153
14,7.488510600000154
15,5.751233599999978
16,8.576727899999241
17,9.066216399998666
18,7.803834499998629
19,6.186937400001625
20,6.908437899997807
140,flows
1,25.778921200000013
2,33.33479020000004
3,24.685575199999676
4,42.95715800000016
5,52.62442099999953
6,38.87271050000072
7,34.043577800001
8,31.357125099999394
9,22.469027999999525
10,20.800651199999265
11,23.146935199998552
12,19.699994999999035
13,21.44073540000136
14,15.204468599999018
15,29.854338000001007
16,22.360759099999996
17,19.189581599999656
18,14.40200630000254
19,22.627410100001725
20,12.70508090000294
180,flows
1,30.69763740000002
2,69.02647969999998
3,56.353432599999906
4,67.13632310000048
5,83.76329780000015
6,77.24398759999985
7,67.02528989999882
8,46.3423346999989
9,38.7808260999991
10,39.64107330000115
11,38.857908699999825
12,38.20054210000126
13,40.144245299999966
14,30.78063519999887
15,40.82191719999901
16,45.022230200000195
17,26.687850800000888
18,38.17110440000033
19,47.11252330000207
20,26.793149500001164
220,flows
1,72.95194679999997
2,109.17560089999984
3,160.14658289999988
4,125.64025729999958
5,102.91481060000024
6,107.65080040000066
7,94.68997950000085
8,58.14657799999986
9,72.50005899999996
10,55.87617750000027
11,59.69052919999922
12,48.12079420000009
13,55.549533900000824
14,91.2561100999992
15,48.67299450000064
16,37.849928999999975
17,72.96245690000069
18,79.0647377000023
19,52.86087079999925
20,51.480658700002095
260,flows
1,122.44420650000006
2,143.98729920000005
3,176.63805249999996
4,192.6651862000008
5,140.8556523999996
6,205.3613777999999
7,161.41256559999965
8,100.52372099999957
9,90.86727210000026
10,93.79686349999974
11,111.6042925999991
12,90.26172469999983
13,85.86003549999987
14,98.5592400000005
15,79.79006070000105
16,86.2233492000014
17,81.47851810000066
18,90.72965789999944
19,80.91486319999967
20,104.57694609999817
JDPS
100,flows
1,6.258241600000019
2,8.984937400000035
3,7.942428399999699
4,10.605967299999975
5,9.769043700000111
6,14.743013799999972
