次數,原始排序,Weight排序,GCD排序,包容力排序
Time_Forward
20,flows
1,8,8,10,9
2,10,10,10,10
3,10,10,11,10
4,9,9,9,9
5,11,11,11,11
6,10,10,11,10
7,10,10,11,10
8,9,9,10,9
9,9,9,10,9
10,11,11,12,11
11,11,11,11,11
12,10,10,11,10
13,10,10,10,10
14,10,10,11,10
15,12,12,12,12
16,10,10,11,9
17,12,12,12,12
18,10,10,11,10
19,6,6,7,6
20,12,12,12,12
21,15,15,15,15
22,7,7,9,7
23,11,11,10,11
24,11,11,11,11
25,13,13,13,13
26,11,11,11,11
27,10,10,10,10
28,9,9,10,9
29,8,8,10,8
30,12,12,12,12
31,11,11,12,11
32,11,11,13,12
33,9,9,9,8
34,10,10,10,10
35,13,13,13,13
36,8,8,12,8
37,10,10,11,10
38,13,13,13,13
39,10,10,11,10
40,9,9,11,9
41,10,10,12,10
42,8,8,8,8
43,11,11,12,12
44,11,11,11,11
45,10,10,12,9
46,8,8,9,8
47,13,13,14,13
48,8,8,11,8
49,10,10,10,10
50,9,9,9,9
51,10,10,11,10
52,9,9,11,8
53,10,10,10,10
54,11,11,11,11
55,9,9,10,9
56,9,9,12,9
57,11,11,12,11
58,12,12,12,12
59,11,11,13,11
60,11,11,11,11
61,8,8,10,8
62,9,9,9,8
63,9,9,10,9
64,10,10,10,10
65,13,13,12,13
66,10,10,13,10
67,9,9,11,9
68,11,11,12,11
69,11,11,12,11
70,9,9,9,9
71,11,11,12,11
72,9,9,9,7
73,11,11,11,11
74,11,11,13,11
75,12,12,10,12
76,11,11,11,11
77,11,11,12,11
78,9,9,9,9
79,10,10,12,10
80,8,8,10,8
81,14,14,14,14
82,9,9,9,9
83,10,10,11,10
84,11,11,11,11
85,9,9,12,8
86,10,10,10,10
87,10,10,10,9
88,11,11,12,11
89,8,8,11,8
90,9,9,11,9
91,12,12,13,12
92,10,10,11,9
93,11,11,12,11
94,9,9,10,9
95,9,9,10,9
96,11,11,11,11
97,11,11,12,11
98,10,10,10,10
99,11,11,12,11
100,11,11,11,11
40,flows
1,13,13,16,13
2,15,15,16,14
3,13,13,15,13
4,13,13,15,13
5,15,15,16,15
6,15,15,14,15
7,16,16,16,15
8,12,12,14,13
9,15,15,14,13
10,12,12,18,12
11,15,15,15,14
12,14,14,14,13
13,13,13,15,13
14,15,15,16,15
15,12,12,15,12
16,15,15,14,15
17,15,15,18,15
18,13,13,16,15
19,16,16,14,16
20,13,13,14,13
21,13,13,14,13
22,13,13,17,13
23,13,13,14,13
24,14,14,19,13
25,12,12,14,12
26,15,15,14,16
27,16,16,17,16
28,14,14,15,13
29,12,12,16,12
30,13,13,15,11
31,15,15,16,15
32,16,16,18,16
33,15,15,14,15
34,14,14,16,13
35,15,15,15,15
36,16,16,17,16
37,14,14,14,14
38,17,17,16,17
39,15,15,17,15
40,14,14,15,13
41,17,17,16,17
42,14,14,14,14
43,14,14,15,14
44,15,15,14,15
45,13,13,14,13
46,13,13,15,13
47,15,15,15,15
48,15,15,16,15
49,15,15,14,15
50,16,16,16,16
51,13,13,16,13
52,14,14,13,14
53,13,13,15,13
54,13,13,14,13
55,15,15,16,15
56,12,12,15,12
57,13,13,13,13
58,12,12,15,12
59,16,16,15,13
60,13,13,14,13
61,13,13,14,13
62,14,14,17,14
63,12,12,16,12
64,13,13,15,13
65,15,15,17,15
66,15,15,17,15
67,16,16,16,16
68,16,16,16,16
69,11,11,14,11
70,11,11,15,12
71,14,14,15,13
72,13,13,14,13
73,16,16,17,15
74,12,12,16,12
75,13,13,14,12
76,14,14,13,14
77,11,11,16,11
78,15,15,15,15
79,15,15,15,14
80,14,14,14,14
81,14,14,16,15
82,14,14,14,13
83,13,13,13,13
84,15,15,18,16
85,16,16,17,16
86,12,12,12,12
87,17,17,17,17
88,16,16,17,16
89,14,14,15,14
90,18,18,17,17
91,17,17,14,17
92,15,15,17,14
93,17,17,16,17
94,15,15,16,16
95,16,16,16,16
96,17,17,16,17
97,17,17,17,17
98,16,16,19,16
99,14,14,15,14
100,14,14,16,14
60,flows
1,16,16,18,16
2,16,16,19,17
3,16,16,19,14
