次數,原始排序,Weight排序,GCD排序,包容力排序
Time_Forward
20,flows
1,7,7,7,7
2,10,9,11,10
3,12,9,12,9
4,10,10,10,10
5,8,9,10,9
6,11,10,12,10
7,10,10,10,10
8,8,8,9,8
9,10,11,11,11
10,8,7,9,8
11,12,11,12,11
12,10,10,10,9
13,8,8,8,8
14,10,10,11,9
15,12,12,12,12
16,11,9,11,11
17,12,12,12,12
18,11,11,12,11
19,12,12,13,12
20,8,8,9,9
21,10,10,11,11
22,10,11,11,11
23,11,12,12,11
24,10,10,10,10
25,11,11,11,11
26,10,11,12,9
27,10,8,10,9
28,12,10,12,9
29,9,8,10,8
30,10,10,11,10
31,10,11,11,11
32,13,12,13,11
33,11,11,12,12
34,10,11,12,11
35,13,12,13,12
36,10,9,11,9
37,10,10,11,10
38,11,11,12,11
39,11,11,12,11
40,9,9,10,9
41,11,11,12,12
42,12,11,13,11
43,13,12,13,12
44,10,11,11,10
45,11,11,11,10
46,10,9,11,10
47,9,10,11,9
48,10,10,10,10
49,11,11,11,11
50,9,9,10,8
51,8,8,8,8
52,10,10,11,9
53,12,12,12,10
54,13,13,13,13
55,11,11,11,10
56,12,12,12,11
57,10,9,11,8
58,10,8,11,9
59,11,12,12,10
60,9,8,9,9
61,11,11,12,11
62,12,12,12,12
63,9,9,10,9
64,9,9,10,9
65,9,8,9,8
66,8,8,8,9
67,13,12,14,12
68,9,10,10,9
69,12,11,13,12
70,11,10,11,11
71,10,11,11,9
72,10,11,10,11
73,10,10,10,10
74,11,10,12,10
75,13,12,13,12
76,11,12,12,12
77,9,10,10,10
78,12,11,12,12
79,12,12,12,11
80,10,10,11,11
81,11,11,12,11
82,9,9,10,10
83,11,10,12,10
84,12,13,12,12
85,11,11,12,10
86,11,10,11,9
87,8,8,9,8
88,10,12,12,10
89,10,8,11,9
90,11,10,11,10
91,12,12,12,12
92,8,8,10,9
93,9,7,9,8
94,10,9,12,9
95,11,12,13,11
96,10,9,10,10
97,9,10,11,9
98,12,11,12,11
99,9,9,10,9
100,9,11,12,11
40,flows
1,11,12,11,11
2,13,14,15,12
3,13,14,14,14
4,14,15,14,14
5,14,14,16,13
6,14,12,14,11
7,16,17,16,16
8,16,15,16,14
9,16,15,17,15
10,13,13,13,13
11,17,16,17,15
12,17,17,18,13
13,14,16,15,15
14,11,14,15,12
15,12,12,13,13
16,13,17,15,14
17,16,15,16,13
18,15,13,15,16
19,11,11,14,11
20,14,16,17,13
21,14,15,16,13
22,13,15,16,12
23,15,14,16,10
24,17,14,17,14
25,13,14,13,10
26,12,13,14,13
27,13,12,16,16
28,16,13,16,10
29,16,13,16,13
30,15,14,16,16
31,11,13,13,13
32,13,13,15,14
33,14,17,18,16
34,13,15,15,12
35,16,14,16,13
36,15,16,16,15
37,13,14,15,15
38,11,12,13,11
39,14,16,15,15
40,15,13,15,14
41,15,14,17,11
42,19,16,19,13
43,13,15,15,14
44,14,16,14,13
45,16,14,16,13
46,13,13,14,13
47,13,9,14,11
48,15,16,15,16
49,12,10,13,14
50,16,15,16,12
51,17,14,17,12
52,16,15,16,15
53,15,13,15,14
54,16,14,16,12
55,13,12,14,12
56,15,14,15,13
57,13,12,14,12
58,14,14,15,14
59,13,14,16,14
60,17,17,19,17
61,15,16,15,16
62,14,14,14,11
63,15,14,16,15
64,17,13,17,13
65,14,11,15,13
66,15,13,15,15
67,15,16,15,12
68,13,15,14,13
69,13,14,17,15
70,16,14,17,14
71,13,13,14,12
72,14,11,15,13
73,14,15,15,13
74,13,16,14,15
75,13,13,15,13
76,13,12,15,11
77,12,12,14,10
78,15,15,16,12
79,17,13,17,14
80,17,16,17,14
81,14,14,15,13
82,14,16,17,13
83,17,12,17,14
84,16,15,16,15
85,13,16,14,12
86,12,11,13,10
87,18,14,18,16
88,10,13,15,10
89,13,13,14,12
90,14,15,15,15
91,15,13,15,9
92,14,16,17,14
93,16,13,16,13
94,15,14,15,14
95,13,14,16,16
96,13,11,14,14
97,16,16,16,16
98,12,13,12,11
99,14,15,16,15
100,16,16,17,16
60,flows
1,17,13,17,13
2,19,19,19,15
3,18,18,20,15
