次數,原始排序,Weight排序,GCD排序,包容力排序
Time_Forward
20,flows
1,252,185,184,198
2,173,232,204,250
3,216,196,213,205
4,276,271,215,237
5,204,266,284,259
6,217,269,290,198
7,189,220,228,280
8,255,171,234,238
9,215,205,292,230
10,256,224,208,199
11,193,205,184,253
12,212,226,254,200
13,222,227,238,219
14,214,222,203,247
15,197,265,253,266
16,247,240,223,211
17,327,207,232,243
18,224,191,216,190
19,211,259,190,273
20,295,212,269,271
21,220,243,238,256
22,220,236,192,186
23,235,241,197,186
24,269,249,230,216
25,167,256,192,265
26,258,205,222,194
27,264,189,197,195
28,272,223,240,297
29,233,215,194,189
30,222,245,327,259
31,228,270,245,231
32,241,267,297,211
33,345,273,194,230
34,201,233,211,232
35,211,196,227,254
36,320,234,214,226
37,171,267,215,196
38,197,269,195,310
39,237,214,322,225
40,231,336,267,245
41,216,246,225,267
42,255,266,185,286
43,191,292,228,233
44,218,186,232,217
45,337,268,227,279
46,213,200,211,188
47,314,257,281,240
48,184,276,300,269
49,213,214,221,185
50,272,229,194,240
51,302,193,332,231
52,275,199,213,267
53,227,171,216,233
54,204,205,222,242
55,187,214,267,217
56,284,198,275,195
57,197,219,239,170
58,247,271,303,262
59,291,259,224,245
60,214,246,212,290
61,263,272,345,207
62,199,237,217,233
63,186,208,265,197
64,192,196,240,217
65,230,221,179,262
66,254,277,241,298
67,221,212,277,234
68,241,293,221,257
69,205,236,291,254
70,192,254,196,286
71,255,281,248,234
72,241,230,194,194
73,200,260,182,260
74,190,230,279,217
75,222,244,249,291
76,186,221,240,240
77,176,250,204,351
78,183,209,198,290
79,299,226,220,184
80,287,253,251,179
81,191,243,214,200
82,224,230,276,289
83,262,208,190,274
84,194,320,215,196
85,296,246,313,205
86,254,194,258,177
87,186,210,208,199
88,207,189,235,181
89,285,235,279,279
90,370,304,246,228
91,214,181,256,181
92,215,333,218,269
93,212,193,245,292
94,269,258,243,211
95,216,235,248,237
96,216,246,281,161
97,287,231,216,205
98,268,204,206,282
99,198,219,273,285
100,351,310,237,221
40,flows
1,326,295,327,344
2,313,293,317,355
3,306,399,333,382
4,321,331,432,351
5,328,424,296,351
6,252,388,350,307
7,376,313,308,355
8,350,296,355,295
9,302,352,349,362
10,296,368,291,336
11,348,330,353,383
12,321,340,375,351
13,299,332,367,326
14,336,369,361,396
15,313,391,379,548
16,386,392,350,395
17,397,357,351,320
18,321,343,343,352
19,304,309,372,384
20,321,429,324,322
21,366,455,413,341
22,364,443,445,379
23,381,349,360,321
24,351,402,386,326
25,341,332,384,347
26,281,341,294,413
27,359,345,348,351
28,311,314,320,475
29,357,375,400,380
30,351,336,304,298
31,302,356,378,368
32,346,393,348,332
33,378,349,261,348
34,306,306,320,403
35,328,382,318,315
36,441,340,338,355
37,460,317,358,416
38,351,355,392,474
39,302,472,353,451
40,389,365,320,353
41,308,466,337,326
42,322,300,349,396
43,409,388,440,423
44,460,311,406,332
45,344,363,323,387
46,319,388,471,333
47,325,373,534,393
48,291,352,426,327
49,338,390,390,369
50,282,397,377,375
51,373,426,301,344
52,292,302,380,371
53,326,406,350,444
54,302,333,362,322
55,328,397,394,338
56,341,431,338,363
57,358,346,336,399
58,304,405,335,325
59,391,444,370,355
60,360,390,418,339
61,322,484,342,464
62,384,359,283,346
63,330,324,328,438
64,414,302,426,390
65,366,341,342,433
66,324,398,372,384
67,273,344,333,340
68,351,406,287,384
69,344,342,389,419
70,392,362,314,488
71,416,427,445,371
72,289,407,383,467
73,312,434,382,334
74,389,398,415,505
75,414,333,316,388
76,383,318,358,339
77,298,337,306,346
78,331,370,392,471
79,427,386,340,382
80,294,335,431,396
81,301,401,323,463
82,312,352,418,371
83,341,291,365,283
84,438,438,298,338
85,333,395,334,295
86,391,380,454,368
87,369,410,438,317
88,406,409,294,371
89,454,375,449,400
90,325,371,413,318
91,347,291,340,309
92,374,379,400,410
93,326,422,329,340
94,301,286,455,311
95,347,376,289,402
96,317,351,303,386
97,468,371,359,357
98,348,373,327,384
99,274,302,324,377
100,351,322,368,367
60,flows
1,499,495,504,436
2,373,463,454,535
3,407,479,536,442
