¦¸¼Æ,time
Our
100,flows
1,717
2,779
3,768
4,706
5,710
6,700
7,719
8,711
9,711
10,786
11,782
12,709
13,829
14,647
15,657
16,715
17,625
18,757
19,637
20,692
21,683
22,756
23,709
24,708
25,709
26,673
27,824
28,685
29,708
30,707
31,635
32,664
33,713
34,619
35,820
36,677
37,865
38,665
39,854
40,707
41,783
42,776
43,681
44,784
45,700
46,779
47,733
48,737
49,880
50,759
51,745
52,810
53,650
54,744
55,690
56,673
57,641
58,711
59,673
60,775
61,704
62,694
63,691
64,754
65,804
66,803
67,855
68,745
69,685
70,674
71,683
72,730
73,717
74,597
75,659
76,721
77,768
78,730
79,654
80,797
81,826
82,669
83,771
84,788
85,692
86,726
87,825
88,757
89,799
90,654
91,682
92,763
93,664
94,739
95,712
96,639
97,723
98,773
99,671
100,764
140,flows
1,922
2,1221
3,955
4,903
5,1124
6,1032
7,942
8,1087
9,1059
10,947
11,958
12,946
13,1004
14,1009
15,1048
16,1025
17,836
18,896
19,948
20,1265
21,1028
22,965
23,926
24,948
25,1007
26,921
27,884
28,1061
29,964
30,919
31,1063
32,1033
33,1121
34,950
35,1034
36,1039
37,1004
38,831
39,944
40,1049
41,951
42,982
43,993
44,1295
45,1041
46,1072
47,894
48,886
49,975
50,888
51,1219
52,979
53,963
54,891
55,904
56,1033
57,947
58,957
59,990
60,990
61,1141
62,904
63,988
64,1152
65,912
66,952
67,825
68,1036
69,917
70,999
71,959
72,1179
73,802
74,915
75,973
76,1038
77,1107
78,1107
79,996
80,1019
81,908
82,991
83,1011
84,911
85,1032
86,947
87,1054
88,950
89,1071
90,921
91,935
92,946
93,905
94,1158
95,1073
96,992
97,1047
98,864
99,836
100,1015
180,flows
1,1395
2,1163
3,1373
4,1270
5,1355
6,1149
7,1238
8,1351
9,1264
10,1206
11,1200
12,1215
13,1196
14,1202
15,1200
16,1230
17,1173
18,1396
19,1236
20,1204
21,1358
22,1384
23,1171
24,1289
25,1098
26,1372
27,1326
28,1260
29,1280
30,1292
31,1355
32,1238
33,1259
34,1214
35,1122
36,1257
37,1192
38,1306
39,1375
40,1212
41,1185
42,1137
43,1167
44,1265
45,1363
46,1463
47,1223
48,1255
49,1195
50,1356
51,1216
52,1233
53,1214
54,1242
55,1120
56,1248
57,1161
58,1174
59,1135
60,1243
61,1194
62,1077
63,1160
64,1124
65,1188
66,1269
67,1406
68,1218
69,1153
70,1227
71,1203
72,1266
73,1128
74,1199
75,1374
76,1088
77,1258
78,1420
79,1108
80,1051
81,1270
82,1208
83,1303
84,1101
85,1256
86,1195
87,1128
88,1130
89,1332
90,1240
91,1192
92,1109
93,1153
94,1074
95,1114
96,1188
97,1133
98,1192
99,1320
100,1100
220,flows
1,1423
2,1365
3,1479
4,1413
5,1592
6,1540
7,1673
8,1489
9,1435
10,1464
11,1454
12,1469
13,1336
14,1446
15,1503
16,1404
17,1413
18,1448
19,1427
20,1495
21,1510
22,1437
23,1525
24,1589
25,1350
26,1460
27,1516
28,1398
29,1478
30,1695
31,1580
32,1518
33,1408
34,1429
35,1606
36,1481
37,1533
38,1422
39,1414
40,1439
41,1491
42,1619
43,1534
44,1532
45,1444
46,1434
47,1433
48,1496
49,1547
50,1463
51,1565
52,1557
53,1492
54,1551
55,1459
56,1463
57,1333
58,1530
59,1382
60,1915
61,1357
62,1539
63,1497
64,1536
65,1577
66,1463
67,1513
68,1394
69,1609
70,1493
71,1349
72,1574
73,1373
74,1375
75,1606
76,1437
77,1371
78,1555
79,1404
80,1500
81,1568
82,1460
83,1410
84,1428
