¦¸¼Æ,time
Our
100,flows
1,677
2,613
3,592
4,537
5,592
6,625
7,537
8,597
9,582
10,537
11,579
12,582
13,559
14,595
15,578
16,590
17,606
18,556
19,634
20,563
21,595
22,532
23,708
24,547
25,550
26,566
27,594
28,540
29,557
30,588
31,692
32,528
33,561
34,520
35,556
36,594
37,491
38,601
39,515
40,565
41,562
42,550
43,616
44,604
45,646
46,586
47,616
48,565
49,568
50,533
51,540
52,562
53,709
54,579
55,567
56,645
57,610
58,575
59,637
60,627
61,561
62,526
63,575
64,563
65,582
66,542
67,581
68,495
69,571
70,595
71,580
72,607
73,528
74,608
75,572
76,543
77,580
78,566
79,620
80,685
81,550
82,576
83,537
84,551
85,582
86,610
87,609
88,524
89,615
90,688
91,552
92,549
93,577
94,500
95,519
96,608
97,640
98,539
99,564
100,598
140,flows
1,722
2,723
3,762
4,760
5,778
6,731
7,755
8,816
9,683
10,757
11,752
12,737
13,700
14,739
15,720
16,762
17,728
18,756
19,694
20,784
21,731
22,858
23,709
24,761
25,762
26,719
27,726
28,800
29,829
30,853
31,689
32,744
33,778
34,738
35,734
36,716
37,745
38,692
39,685
40,842
41,723
42,691
43,791
44,869
45,727
46,850
47,734
48,799
49,867
50,765
51,712
52,767
53,733
54,776
55,757
56,707
57,695
58,842
59,929
60,784
61,810
62,761
63,745
64,734
65,830
66,865
67,695
68,913
69,756
70,644
71,721
72,791
73,701
74,755
75,826
76,775
77,674
78,857
79,712
80,701
81,847
82,784
83,769
84,710
85,754
86,773
87,721
88,728
89,851
90,859
91,718
92,896
93,739
94,755
95,731
96,829
97,714
98,766
99,769
100,694
180,flows
1,940
2,891
3,943
4,944
5,962
6,899
7,884
8,1125
9,976
10,1037
11,981
12,862
13,927
14,994
15,900
16,899
17,899
18,970
19,936
20,965
21,973
22,922
23,976
24,931
25,952
26,907
27,961
28,1013
29,1011
30,913
31,936
32,1053
33,891
34,877
35,912
36,913
37,970
38,948
39,952
40,945
41,882
42,904
43,984
44,992
45,901
46,915
47,974
48,931
49,892
50,833
51,915
52,1010
53,955
54,881
55,1051
56,1004
57,910
58,947
59,896
60,974
61,974
62,813
63,985
64,842
65,882
66,935
67,930
68,979
69,1000
70,938
71,846
72,926
73,893
74,1037
75,916
76,927
77,908
78,1019
79,966
80,959
81,924
82,975
83,960
84,879
85,842
86,981
87,992
88,974
89,951
90,951
91,858
92,937
93,925
94,949
95,983
96,922
97,878
98,911
99,892
100,897
220,flows
1,1145
2,1075
3,1010
4,1232
5,1107
6,1082
7,1054
8,1076
9,1232
10,1084
11,1127
12,1125
13,1136
14,1209
15,1226
16,1236
17,1154
18,1150
19,1139
20,1126
21,1243
22,1048
23,1134
24,1161
25,1076
26,1112
27,1026
28,1168
29,1033
30,1031
31,1179
32,1186
33,1059
34,1163
35,1172
36,1069
37,1114
38,1165
39,1142
40,1154
41,1172
42,1068
43,1158
44,1110
45,1092
46,1187
47,1170
48,1094
49,1077
50,1132
51,1227
52,1006
53,1239
54,1110
55,1186
56,1137
57,1385
58,1106
59,1088
60,1074
61,1176
62,1118
63,1147
64,1147
65,1150
66,1007
67,968
68,1178
69,1245
70,1153
71,982
72,1067
73,1089
74,1117
75,1028
76,1127
77,1134
78,1159
79,1176
80,1028
81,1379
82,1121
83,1015
84,1095
85,1202
86,1091
87,1033
88,1105
89,1111
90,1200
91,1238
92,1142
93,1275
94,1113
95,1000
96,1193
97,1151
98,1092
99,1183
100,1194
260,flows
1,1260
2,1282
3,1346
4,1219
5,1243
6,1294
7,1260
8,1480
9,1305
