¦¸¼Æ,flows
Our
100,flows
1,20
2,20
3,18
4,20
5,20
6,19
7,18
8,17
9,14
10,20
11,16
12,17
13,18
14,19
15,19
16,22
17,22
18,20
19,18
20,21
21,20
22,21
23,17
24,18
25,20
26,20
27,20
28,17
29,17
30,17
31,21
32,22
33,22
34,19
35,19
36,17
37,17
38,20
39,18
40,18
41,17
42,21
43,19
44,18
45,20
46,19
47,22
48,17
49,18
50,22
51,21
52,18
53,19
54,20
55,18
56,20
57,18
58,17
59,20
60,18
61,16
62,22
63,18
64,16
65,19
66,21
67,20
68,19
69,21
70,18
71,21
72,20
73,18
74,19
75,18
76,20
77,20
78,21
79,21
80,19
81,16
82,21
83,19
84,18
85,18
86,20
87,17
88,18
89,20
90,21
91,17
92,21
93,19
94,16
95,18
96,22
97,19
98,21
99,21
100,19
140,flows
1,20
2,22
3,21
4,25
5,26
6,21
7,20
8,24
9,22
10,20
11,20
12,23
13,22
14,19
15,24
16,19
17,25
18,21
19,21
20,22
21,20
22,19
23,21
24,21
25,19
26,21
27,21
28,22
29,20
30,20
31,23
32,20
33,23
34,22
35,20
36,17
37,21
38,23
39,20
40,21
41,19
42,21
43,20
44,18
45,21
46,20
47,20
48,22
49,21
50,20
51,20
52,20
53,21
54,18
55,20
56,23
57,25
58,22
59,23
60,26
61,20
62,23
63,18
64,20
65,19
66,22
67,20
68,21
69,22
70,22
71,21
72,16
73,19
74,21
75,21
76,22
77,23
78,21
79,19
80,18
81,22
82,23
83,19
84,21
85,20
86,23
87,22
88,22
89,20
90,21
91,23
92,21
93,21
94,22
95,21
96,24
97,21
98,19
99,22
100,22
180,flows
1,21
2,22
3,19
4,21
5,24
6,22
7,22
8,22
9,20
10,26
11,22
12,23
13,23
14,22
15,22
16,22
17,19
18,23
19,20
20,24
21,23
22,24
23,20
24,22
25,22
26,24
27,25
28,23
29,25
30,24
31,22
32,19
33,24
34,19
35,25
36,20
37,23
38,24
39,23
40,20
41,23
42,23
43,20
44,23
45,22
46,17
47,23
48,24
49,20
50,22
51,22
52,22
53,24
54,20
55,23
56,25
57,22
58,19
59,22
60,20
61,25
62,20
63,22
64,21
65,22
66,25
67,22
68,25
69,21
70,27
71,20
72,23
73,25
74,24
75,22
76,23
77,24
78,23
79,23
80,21
81,23
82,25
83,21
84,25
85,25
86,20
87,22
88,26
89,23
90,23
91,21
92,22
93,25
94,22
95,21
96,22
97,23
98,21
99,30
100,21
220,flows
1,21
2,25
3,24
4,28
5,24
6,21
7,22
8,24
9,23
10,22
11,20
12,25
13,22
14,26
15,21
16,27
17,24
18,23
19,24
20,23
21,22
22,24
23,26
24,22
25,25
26,26
27,20
28,24
29,23
30,24
31,27
32,26
33,24
34,25
35,23
36,23
37,26
38,22
39,23
40,24
41,21
42,24
43,21
44,27
45,23
46,24
47,25
48,22
49,24
50,22
51,25
52,26
53,25
54,24
55,21
56,25
57,25
58,29
59,25
60,23
61,24
62,24
63,24
64,24
65,24
66,24
67,26
68,24
69,24
70,27
71,23
72,24
73,24
74,25
75,23
76,27
77,26
78,25
79,24
80,23
81,28
82,24
83,25
84,24
85,25
86,22
87,21
88,26
89,26
90,22
91,22
92,26
93,19
94,24
95,23
96,23
97,22
98,29
99,25
100,23
260,flows
1,24
2,27
3,25
4,25
5,26
6,26
7,24
8,26
9,27
10,24
11,26
12,25
13,24
14,25
15,28
16,23
17,25
18,26
19,26
20,25
21,24
22,23
23,27
24,26
25,23
26,27
27,25
28,24
29,25
30,24
31,26
32,27
33,26
34,24
35,26
36,23
37,24
38,24
39,23
