¦¸¼Æ,time
Our
100,flows
1,769
2,751
3,696
4,657
5,620
6,686
7,650
8,737
9,714
10,659
11,602
12,644
13,583
14,678
15,616
16,741
17,658
18,777
19,629
20,623
21,609
22,745
23,632
24,663
25,722
26,673
27,587
28,648
29,639
30,703
31,602
32,735
33,644
34,671
35,692
36,646
37,618
38,592
39,644
40,666
41,780
42,602
43,753
44,705
45,657
46,645
47,655
48,684
49,641
50,684
51,710
52,557
53,657
54,699
55,559
56,753
57,653
58,691
59,618
60,786
61,747
62,614
63,623
64,617
65,769
66,600
67,665
68,677
69,630
70,790
71,602
72,693
73,617
74,682
75,614
76,706
77,633
78,619
79,574
80,662
81,630
82,682
83,616
84,581
85,586
86,671
87,742
88,648
89,720
90,668
91,606
92,605
93,638
94,668
95,669
96,713
97,727
98,703
99,620
100,663
140,flows
1,818
2,914
3,903
4,788
5,835
6,846
7,831
8,848
9,851
10,856
11,936
12,857
13,834
14,892
15,890
16,868
17,987
18,992
19,842
20,921
21,844
22,887
23,836
24,878
25,877
26,880
27,800
28,867
29,849
30,849
31,814
32,936
33,875
34,810
35,880
36,868
37,880
38,895
39,844
40,915
41,806
42,859
43,761
44,867
45,966
46,908
47,976
48,960
49,819
50,898
51,912
52,910
53,836
54,887
55,951
56,866
57,894
58,888
59,836
60,1053
61,895
62,881
63,841
64,835
65,912
66,867
67,915
68,922
69,872
70,792
71,889
72,875
73,929
74,864
75,804
76,881
77,878
78,863
79,823
80,777
81,866
82,770
83,825
84,886
85,908
86,875
87,874
88,901
89,884
90,894
91,1047
92,941
93,902
94,885
95,930
96,957
97,840
98,775
99,850
100,887
180,flows
1,1212
2,1063
3,1048
4,1132
5,1139
6,1077
7,1111
8,1049
9,1105
10,1040
11,1094
12,965
13,1121
14,1150
15,1037
16,1060
17,1029
18,1148
19,1135
20,1225
21,1068
22,1224
23,982
24,1064
25,1013
26,1010
27,1040
28,1177
29,1031
30,1158
31,1056
32,1107
33,1056
34,1137
35,1068
36,1243
37,1129
38,1143
39,1165
40,1113
41,1011
42,1181
43,1207
44,1055
45,1186
46,1006
47,1071
48,1221
49,986
50,1172
51,1065
52,1171
53,1070
54,1071
55,1060
56,1043
57,1145
58,992
59,1197
60,1132
61,1110
62,1128
63,1217
64,1116
65,1119
66,1230
67,1061
68,1060
69,1033
70,1029
71,1071
72,968
73,1072
74,1120
75,1031
76,1098
77,1204
78,1023
79,1022
80,1002
81,1077
82,1014
83,1032
84,1110
85,1144
86,996
87,1072
88,1030
89,1091
90,1150
91,1019
92,1028
93,1076
94,1142
95,1174
96,1212
97,1307
98,1133
99,1074
100,1056
220,flows
1,1258
2,1309
3,1217
4,1303
5,1226
6,1185
7,1227
8,1299
9,1238
10,1306
11,1336
12,1316
13,1245
14,1373
15,1385
16,1182
17,1278
18,1253
19,1282
20,1251
21,1265
22,1237
23,1432
24,1294
25,1328
26,1248
27,1243
28,1312
29,1255
30,1301
31,1157
32,1161
33,1327
34,1298
35,1352
36,1262
37,1198
38,1409
39,1266
40,1302
41,1252
42,1193
43,1470
44,1230
45,1338
46,1290
47,1276
48,1184
49,1405
50,1258
51,1234
52,1361
53,1225
54,1421
55,1283
56,1266
57,1301
58,1290
59,1302
60,1388
61,1408
62,1252
63,1245
64,1288
65,1337
66,1361
67,1361
68,1292
69,1244
70,1201
71,1325
72,1266
73,1312
74,1437
75,1377
76,1376
77,1456
78,1316
79,1333
80,1325
81,1281
82,1380
83,1437
84,1243
85,1208
86,1256
87,1180
88,1324
89,1234
90,1276
91,1347
92,1316
93,1216
