¦¸¼Æ,flows
Our
100,flows
1,19
2,21
3,18
4,17
5,19
6,18
7,19
8,19
9,20
10,20
11,20
12,19
13,19
14,20
15,19
16,22
17,16
18,21
19,22
20,17
21,20
22,18
23,19
24,19
25,18
26,17
27,20
28,22
29,23
30,18
31,23
32,24
33,21
34,20
35,19
36,21
37,21
38,18
39,18
40,16
41,19
42,18
43,19
44,15
45,19
46,22
47,19
48,18
49,20
50,21
51,15
52,20
53,19
54,19
55,19
56,17
57,16
58,22
59,21
60,20
61,20
62,22
63,21
64,23
65,17
66,18
67,20
68,21
69,18
70,22
71,22
72,19
73,18
74,18
75,18
76,20
77,18
78,19
79,17
80,19
81,20
82,18
83,19
84,18
85,20
86,18
87,19
88,18
89,15
90,19
91,17
92,23
93,19
94,18
95,19
96,18
97,18
98,20
99,18
100,22
140,flows
1,21
2,21
3,22
4,22
5,20
6,22
7,21
8,21
9,21
10,19
11,25
12,21
13,25
14,19
15,20
16,17
17,22
18,20
19,21
20,21
21,19
22,21
23,22
24,25
25,21
26,22
27,20
28,22
29,19
30,19
31,26
32,20
33,21
34,24
35,18
36,25
37,20
38,22
39,25
40,21
41,22
42,22
43,18
44,20
45,20
46,20
47,21
48,24
49,21
50,21
51,20
52,20
53,22
54,25
55,22
56,23
57,24
58,23
59,17
60,23
61,19
62,24
63,22
64,23
65,23
66,21
67,20
68,20
69,22
70,20
71,25
72,18
73,21
74,24
75,17
76,21
77,16
78,20
79,23
80,19
81,26
82,18
83,21
84,20
85,22
86,22
87,25
88,22
89,22
90,23
91,24
92,22
93,19
94,23
95,19
96,19
97,22
98,26
99,23
100,18
180,flows
1,24
2,19
3,26
4,19
5,23
6,25
7,21
8,20
9,23
10,23
11,23
12,22
13,21
14,26
15,27
16,20
17,23
18,19
19,22
20,22
21,19
22,26
23,20
24,23
25,23
26,23
27,24
28,19
29,23
30,21
31,23
32,20
33,22
34,24
35,23
36,22
37,24
38,24
39,21
40,22
41,20
42,21
43,21
44,21
45,23
46,20
47,22
48,23
49,22
50,22
51,21
52,23
53,24
54,19
55,23
56,22
57,23
58,24
59,25
60,21
61,25
62,22
63,23
64,26
65,22
66,21
67,20
68,22
69,24
70,25
71,21
72,23
73,25
74,20
75,22
76,23
77,27
78,21
79,22
80,23
81,24
82,25
83,22
84,23
85,26
86,22
87,20
88,22
89,24
90,23
91,22
92,25
93,21
94,21
95,23
96,22
97,21
98,24
99,23
100,21
220,flows
1,25
2,28
3,28
4,22
5,25
6,25
7,23
8,23
9,22
10,24
11,20
12,21
13,27
14,23
15,24
16,22
17,20
18,23
19,22
20,25
21,26
22,24
23,25
24,24
25,24
26,26
27,27
28,26
29,22
30,24
31,27
32,26
33,27
34,25
35,24
36,25
37,24
38,22
39,21
40,26
41,27
42,25
43,23
44,23
45,23
46,26
47,24
48,24
49,22
50,26
51,22
52,26
53,27
54,24
55,24
56,21
57,25
58,26
59,25
60,21
61,27
62,24
63,20
64,24
65,22
66,25
67,26
68,24
69,23
70,23
71,27
72,25
73,24
74,22
75,22
76,22
77,24
78,22
79,23
80,27
81,25
82,26
83,25
84,24
85,24
86,22
87,24
88,26
89,23
90,27
91,25
92,25
93,26
94,24
95,28
96,25
97,26
98,24
99,24
100,25
260,flows
1,23
2,27
3,26
4,22
5,26
6,26
7,25
8,29
9,25
10,22
11,25
12,24
13,22
14,21
15,25
16,25
17,24
18,25
19,31
20,27
21,26
22,27
23,25
24,27
25,21
26,25
27,24
28,28
29,25
30,24
31,21
32,26
33,26
34,25
35,28
36,22
37,29
38,23
39,26
