¦¸¼Æ,time
Our
100,flows
1,533
2,574
3,518
4,566
5,498
6,561
7,609
8,591
9,545
10,526
11,494
12,555
13,597
14,623
15,629
16,494
17,553
18,567
19,578
20,608
21,553
22,719
23,525
24,544
25,544
26,565
27,519
28,618
29,564
30,518
31,510
32,519
33,529
34,577
35,555
36,599
37,545
38,584
39,597
40,601
41,563
42,535
43,556
44,611
45,629
46,650
47,651
48,538
49,530
50,552
51,506
52,545
53,645
54,517
55,610
56,527
57,568
58,555
59,512
60,581
61,582
62,542
63,630
64,537
65,588
66,561
67,515
68,590
69,581
70,551
71,557
72,495
73,548
74,492
75,578
76,621
77,556
78,495
79,548
80,629
81,533
82,613
83,543
84,547
85,529
86,574
87,580
88,672
89,599
90,556
91,584
92,635
93,535
94,595
95,599
96,548
97,583
98,574
99,537
100,596
140,flows
1,721
2,775
3,702
4,670
5,725
6,749
7,755
8,806
9,689
10,712
11,814
12,780
13,683
14,797
15,786
16,731
17,692
18,840
19,723
20,697
21,741
22,743
23,646
24,792
25,750
26,622
27,745
28,716
29,709
30,774
31,746
32,839
33,820
34,734
35,818
36,782
37,690
38,717
39,790
40,711
41,737
42,815
43,671
44,783
45,709
46,810
47,826
48,717
49,703
50,659
51,634
52,770
53,762
54,733
55,705
56,767
57,851
58,714
59,776
60,685
61,704
62,777
63,698
64,681
65,681
66,688
67,763
68,793
69,905
70,805
71,1039
72,787
73,725
74,710
75,689
76,650
77,772
78,775
79,738
80,737
81,730
82,817
83,719
84,649
85,684
86,940
87,842
88,778
89,709
90,779
91,724
92,650
93,743
94,703
95,726
96,738
97,822
98,813
99,705
100,806
180,flows
1,892
2,961
3,838
4,922
5,837
6,1082
7,956
8,924
9,903
10,977
11,907
12,860
13,959
14,900
15,937
16,1005
17,923
18,991
19,821
20,993
21,874
22,1076
23,856
24,972
25,852
26,771
27,966
28,916
29,1025
30,1010
31,963
32,853
33,928
34,954
35,1029
36,988
37,976
38,888
39,950
40,921
41,824
42,914
43,942
44,903
45,931
46,878
47,979
48,808
49,868
50,893
51,869
52,1142
53,870
54,873
55,1000
56,895
57,1000
58,877
59,1178
60,959
61,948
62,952
63,841
64,873
65,947
66,869
67,862
68,1077
69,1016
70,880
71,887
72,881
73,871
74,935
75,894
76,926
77,919
78,947
79,852
80,900
81,940
82,1001
83,879
84,896
85,846
86,1018
87,827
88,972
89,901
90,923
91,1037
92,880
93,919
94,980
95,796
96,880
97,923
98,1044
99,960
100,911
220,flows
1,1074
2,1027
3,1132
4,1048
5,1057
6,1209
7,1091
8,1103
9,1083
10,1154
11,1216
12,987
13,1069
14,1229
15,1031
16,1175
17,1186
18,1168
19,1118
20,987
21,1195
22,1145
23,1180
24,1094
25,1093
26,1034
27,1068
28,1118
29,1164
30,1062
31,1110
32,1155
33,999
34,1008
35,1164
36,1006
37,1063
38,1234
39,1128
40,1155
41,1201
42,1184
43,1072
44,1178
45,1172
46,987
47,1102
48,971
49,1127
50,1061
51,1017
52,1168
53,1107
54,1190
55,1122
56,1139
57,1133
58,1148
59,1047
60,1095
61,1188
62,1111
63,1118
64,1183
65,1124
66,1127
67,1059
68,1242
69,1071
70,1150
71,1069
72,1117
73,1278
74,1265
75,1059
76,1124
77,1128
78,1169
79,1038
80,955
81,1075
82,1094
83,1002
84,1128
85,989
86,1093
87,1238
88,1114
89,985
90,1079
91,1200
92,1057
93,1080
94,1018
95,1201
96,1086
97,1047
98,1206
99,1156
100,1141
260,flows
1,1277
2,1336
3,1216
4,1361
5,1241
6,1269
7,1278
8,1281
9,1182
