¦¸¼Æ,time
Our
100,flows
1,650
2,675
3,668
4,570
5,591
6,549
7,617
8,735
9,572
10,703
11,697
12,612
13,546
14,546
15,683
16,606
17,541
18,508
19,533
20,576
21,594
22,627
23,580
24,615
25,602
26,646
27,572
28,677
29,671
30,564
31,558
32,594
33,538
34,520
35,590
36,620
37,577
38,638
39,572
40,547
41,614
42,586
43,588
44,677
45,666
46,549
47,631
48,573
49,593
50,558
51,635
52,549
53,544
54,728
55,741
56,623
57,634
58,578
59,516
60,672
61,688
62,619
63,628
64,526
65,562
66,600
67,588
68,586
69,608
70,570
71,555
72,592
73,567
74,574
75,533
76,620
77,572
78,566
79,623
80,691
81,642
82,634
83,709
84,553
85,645
86,541
87,580
88,601
89,552
90,628
91,603
92,547
93,645
94,596
95,557
96,557
97,609
98,587
99,576
100,531
140,flows
1,942
2,796
3,784
4,743
5,812
6,718
7,757
8,792
9,794
10,822
11,791
12,723
13,726
14,752
15,783
16,731
17,779
18,763
19,814
20,777
21,766
22,744
23,720
24,777
25,785
26,805
27,758
28,863
29,732
30,881
31,781
32,767
33,786
34,848
35,736
36,753
37,750
38,764
39,878
40,741
41,721
42,836
43,789
44,867
45,980
46,791
47,765
48,747
49,852
50,753
51,799
52,841
53,700
54,785
55,899
56,829
57,756
58,855
59,705
60,943
61,711
62,749
63,798
64,813
65,763
66,747
67,758
68,808
69,744
70,788
71,783
72,789
73,799
74,755
75,703
76,730
77,796
78,871
79,855
80,706
81,837
82,731
83,754
84,714
85,765
86,781
87,784
88,746
89,769
90,836
91,755
92,773
93,819
94,783
95,769
96,731
97,773
98,713
99,839
100,739
180,flows
1,1059
2,979
3,1024
4,1043
5,966
6,934
7,943
8,924
9,920
10,956
11,957
12,894
13,894
14,1086
15,944
16,1019
17,1009
18,1011
19,1038
20,921
21,977
22,975
23,1041
24,985
25,962
26,895
27,893
28,967
29,965
30,1168
31,946
32,1049
33,1088
34,928
35,926
36,942
37,889
38,939
39,922
40,897
41,995
42,906
43,992
44,1032
45,957
46,980
47,1061
48,1011
49,1106
50,985
51,990
52,873
53,946
54,965
55,1021
56,988
57,989
58,962
59,1041
60,1022
61,1070
62,900
63,1011
64,976
65,1036
66,955
67,910
68,939
69,1027
70,991
71,992
72,933
73,970
74,1008
75,968
76,900
77,944
78,921
79,953
80,872
81,1003
82,915
83,1088
84,946
85,1020
86,991
87,937
88,886
89,909
90,933
91,961
92,957
93,945
94,1029
95,988
96,994
97,986
98,938
99,1008
100,850
220,flows
1,1249
2,992
3,1085
4,1064
5,1166
6,1312
7,1167
8,1151
9,1212
10,1153
11,1119
12,1091
13,1111
14,1181
15,1122
16,1070
17,1083
18,1164
19,1117
20,1077
21,1059
22,1114
23,1205
24,1158
25,1122
26,1234
27,1100
28,1160
29,1057
30,1272
31,1201
32,1229
33,1199
34,1163
35,1088
36,1099
37,1052
38,1147
39,1089
40,1095
41,1053
42,1111
43,1130
44,1147
45,1155
46,1191
47,1251
48,1095
49,1005
50,1146
51,1103
52,1098
53,1164
54,1052
55,1165
56,1135
57,1094
58,1055
59,1021
60,1123
61,1000
62,1284
63,1072
64,1226
65,1186
66,1062
67,1029
68,1121
69,1160
70,1003
71,1088
72,1330
73,1127
74,1182
75,1180
76,1179
77,1135
78,1257
79,1124
80,1260
81,1071
82,1159
83,1280
84,1176
85,1260
86,1175
87,1109
88,1162
89,1120
90,1260
91,1278
92,1234
93,1144
94,1169
95,1258
96,1139
97,1100
98,1112
99,1217
100,1232
260,flows
1,1180
2,1356
3,1280
4,1287
5,1280
6,1258
