¦¸¼Æ,time
Our
100,flows
1,583
2,540
3,574
4,581
5,578
6,556
7,583
8,584
9,604
10,529
11,520
12,711
13,557
14,592
15,549
16,676
17,582
18,591
19,523
20,644
21,689
22,509
23,645
24,561
25,588
26,630
27,554
28,611
29,621
30,651
31,580
32,598
33,502
34,557
35,582
36,550
37,574
38,588
39,576
40,587
41,634
42,597
43,563
44,592
45,633
46,687
47,632
48,587
49,556
50,548
51,664
52,515
53,632
54,557
55,608
56,511
57,640
58,600
59,543
60,622
61,564
62,587
63,593
64,609
65,583
66,571
67,545
68,558
69,567
70,596
71,604
72,551
73,637
74,572
75,560
76,573
77,540
78,580
79,599
80,578
81,606
82,504
83,621
84,618
85,620
86,570
87,624
88,610
89,514
90,647
91,587
92,577
93,689
94,582
95,578
96,616
97,597
98,596
99,545
100,576
140,flows
1,694
2,806
3,841
4,836
5,777
6,800
7,782
8,743
9,811
10,842
11,753
12,985
13,744
14,820
15,831
16,730
17,770
18,798
19,786
20,803
21,807
22,711
23,722
24,919
25,797
26,698
27,877
28,858
29,774
30,839
31,710
32,734
33,670
34,822
35,789
36,821
37,711
38,898
39,713
40,804
41,823
42,773
43,762
44,762
45,789
46,762
47,768
48,775
49,773
50,777
51,786
52,735
53,775
54,865
55,764
56,711
57,752
58,810
59,776
60,741
61,733
62,765
63,787
64,728
65,776
66,720
67,785
68,731
69,837
70,707
71,805
72,791
73,797
74,660
75,753
76,722
77,665
78,717
79,757
80,751
81,737
82,749
83,730
84,691
85,806
86,990
87,772
88,801
89,748
90,794
91,733
92,748
93,741
94,748
95,711
96,722
97,718
98,745
99,741
100,758
180,flows
1,937
2,965
3,945
4,911
5,991
6,915
7,1015
8,1080
9,858
10,1007
11,981
12,1053
13,949
14,834
15,971
16,948
17,877
18,937
19,986
20,902
21,947
22,889
23,917
24,925
25,942
26,890
27,893
28,943
29,878
30,933
31,952
32,880
33,920
34,932
35,905
36,923
37,937
38,888
39,981
40,1035
41,986
42,983
43,900
44,908
45,928
46,969
47,885
48,1047
49,1026
50,1021
51,1089
52,865
53,971
54,886
55,1070
56,1007
57,925
58,841
59,1045
60,1057
61,885
62,934
63,943
64,905
65,996
66,854
67,1026
68,1100
69,1025
70,986
71,840
72,925
73,1062
74,982
75,1004
76,997
77,858
78,911
79,899
80,938
81,970
82,888
83,865
84,928
85,922
86,935
87,1045
88,873
89,933
90,925
91,912
92,1097
93,920
94,878
95,1047
96,959
97,852
98,936
99,940
100,1012
220,flows
1,1322
2,1089
3,1073
4,1139
5,1108
6,1048
7,1122
8,1362
9,1107
10,1093
11,1095
12,1067
13,1165
14,1104
15,1153
16,1043
17,1129
18,1095
19,1063
20,1218
21,1095
22,1178
23,1063
24,1123
25,1084
26,1096
27,1067
28,1093
29,1159
30,1212
31,1049
32,1044
33,1140
34,1035
35,1222
36,1135
37,1071
38,1175
39,1121
40,1105
41,1064
42,1201
43,1141
44,1097
45,1084
46,1016
47,1024
48,1237
49,1171
50,1071
51,1117
52,1097
53,1135
54,1096
55,1316
56,1127
57,1214
58,1106
59,1188
60,1051
61,1108
62,1167
63,1185
64,1230
65,1096
66,1058
67,1093
68,1320
69,1035
70,1139
71,1049
72,1171
73,1179
74,1081
75,1054
76,1049
77,1022
78,1014
79,1127
80,1188
81,1098
82,1176
83,1030
84,1096
85,1131
86,1117
87,1076
88,1234
89,1006
90,1092
91,1132
92,1055
93,1180
94,1388
95,1115
96,1101
97,1053
98,1177
99,1201
100,1150
260,flows
1,1255
2,1390
3,1273
4,1190
5,1224
6,1252
7,1371
