次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,8,8,7,8,8
2,6,7,7,7,7
3,6,8,8,8,8
4,5,9,9,9,9
5,6,6,7,7,7
6,9,10,10,10,10
7,10,10,10,10,10
8,6,8,8,8,8
9,5,10,10,10,10
10,7,9,9,9,9
11,7,7,7,6,7
12,8,8,9,9,9
13,8,8,8,8,8
14,9,9,9,9,9
15,6,6,7,8,7
16,8,8,8,8,8
17,6,9,9,9,9
18,5,7,7,7,7
19,8,9,9,9,9
20,8,11,11,11,11
21,7,8,8,7,8
22,7,8,8,8,8
23,7,10,10,10,10
24,8,8,8,8,8
25,8,8,8,8,8
26,8,8,8,8,8
27,8,8,8,8,8
28,6,8,8,8,8
29,8,8,8,8,8
30,5,6,7,6,7
31,3,3,5,6,5
32,7,8,8,8,8
33,5,5,6,5,7
34,6,6,7,7,7
35,5,10,10,10,10
36,6,9,9,9,9
37,8,8,9,8,9
38,5,4,7,5,7
39,8,10,10,10,10
40,7,9,9,9,9
41,7,8,8,8,8
42,6,7,7,7,7
43,9,9,9,9,9
44,8,8,8,8,8
45,10,11,11,11,11
46,7,9,9,9,9
47,7,7,7,7,7
48,7,7,7,6,7
49,7,7,8,8,8
50,8,9,9,9,9
51,6,6,6,6,6
52,7,9,9,9,9
53,10,10,10,10,10
54,8,8,8,8,8
55,7,9,9,9,9
56,8,8,8,8,8
57,8,8,8,8,8
58,7,7,7,7,7
59,10,10,10,10,10
60,7,9,9,9,9
61,8,8,9,7,7
62,7,9,9,9,9
63,8,8,8,8,8
64,8,9,9,9,9
65,7,9,9,9,9
66,9,9,9,9,9
67,9,10,10,10,10
68,6,7,8,7,8
69,7,7,7,7,7
70,6,6,7,7,7
71,6,8,7,7,7
72,7,7,7,7,7
73,8,8,8,8,8
74,8,8,8,7,8
75,7,7,7,8,7
76,9,9,9,9,9
77,9,9,9,9,9
78,7,8,9,8,9
79,5,5,6,6,6
80,9,9,9,9,9
81,6,8,8,8,8
82,7,7,7,7,7
83,6,6,6,6,6
84,4,6,7,5,6
85,6,8,8,8,8
86,7,7,7,6,7
87,7,9,9,9,9
88,4,4,6,5,5
89,10,11,11,11,11
90,7,7,9,9,9
91,8,8,9,10,10
92,10,10,10,10,10
93,5,6,7,6,7
94,8,9,9,9,9
95,8,9,9,9,9
96,5,5,5,6,7
97,8,8,8,8,8
98,5,5,6,7,7
99,8,8,8,8,8
100,8,8,8,8,8
101,7,8,8,8,8
102,5,5,5,5,5
103,7,7,7,7,7
104,9,9,9,9,9
105,5,5,6,5,6
106,6,6,6,6,6
107,5,7,8,8,8
108,8,9,9,9,9
109,7,7,7,6,6
110,6,8,8,8,8
111,8,9,9,9,9
112,7,8,8,8,8
113,7,9,9,9,9
114,7,8,6,7,8
115,7,7,7,5,7
116,7,7,7,7,7
117,8,8,8,8,8
118,7,10,10,10,10
119,6,9,9,9,9
120,9,9,9,9,9
121,8,8,8,8,8
122,3,8,8,7,8
123,8,9,9,9,9
124,6,7,9,8,8
125,4,6,8,7,7
126,7,8,8,8,8
127,5,5,7,6,7
128,10,10,10,10,10
129,10,10,10,10,10
130,8,9,9,9,9
131,6,6,6,5,6
132,8,9,9,9,9
133,9,10,10,10,10
134,7,7,7,7,7
135,5,7,6,6,6
136,6,7,7,7,7
137,6,8,8,8,8
138,7,8,8,8,8
139,6,6,7,6,7
140,8,9,9,9,9
141,10,10,10,10,10
142,10,10,10,9,10
143,6,8,8,8,8
144,7,7,7,7,7
145,6,7,7,7,7
146,6,6,7,7,7
147,8,9,9,9,9
148,7,7,7,7,7
149,10,10,10,10,10
150,4,9,9,8,9
151,8,9,9,9,9
152,8,10,10,10,10
153,6,9,9,9,9
154,7,10,10,10,10
155,8,10,10,10,10
156,11,11,11,11,11
157,9,11,11,11,11
158,9,9,9,9,9
159,8,9,9,9,9
160,6,9,9,9,9
161,6,6,8,8,8
162,8,8,8,8,8
163,11,11,11,11,11
164,7,6,7,6,7
165,7,7,7,7,7
166,6,6,7,7,7
167,8,8,8,8,8
168,7,7,7,7,7
169,7,9,9,9,9
170,8,8,8,8,8
171,8,9,8,9,9
172,9,9,9,9,9
173,6,8,9,9,9
174,7,10,10,10,10
175,8,8,8,8,8
176,7,7,7,7,7
177,5,8,7,7,7
178,7,9,9,9,9
179,6,7,7,7,7
180,9,10,10,10,10
181,7,8,8,8,8
182,8,8,8,8,8
183,8,8,9,9,9
184,8,8,8,8,8
185,6,7,7,7,7
186,8,8,8,8,8
187,9,9,9,9,9
188,3,3,4,5,4
189,9,9,9,9,9
190,6,7,7,6,7
191,8,8,8,8,8
192,5,5,6,5,5
193,7,9,9,9,9
194,7,9,8,9,8
195,8,9,9,9,9
196,6,7,7,6,7
197,6,7,8,8,8
198,7,9,9,9,9
199,8,10,10,10,10
200,9,10,10,10,10
201,7,9,9,9,9
202,6,7,6,7,6
203,9,9,9,9,9
204,8,8,8,8,8
205,7,8,8,8,8
206,7,8,8,8,8
207,8,9,9,9,9
208,5,5,7,7,6
209,8,10,10,10,10
210,8,10,10,10,10
211,4,4,7,6,6
212,9,9,9,9,9
213,6,12,12,12,12
214,9,9,9,8,9
215,8,8,8,8,8
216,6,6,6,6,6
217,10,10,10,10,10
218,9,9,10,10,10
219,4,9,9,9,9
220,6,7,8,7,8
221,8,8,8,8,8
222,4,4,6,5,6
223,8,8,8,8,8
224,7,6,8,8,8
225,6,9,9,9,9
226,7,8,8,8,8
227,6,7,7,7,7
228,7,7,8,7,8
229,8,8,8,8,8
230,5,7,7,7,7
231,10,10,10,10,10
232,7,7,7,7,7
233,9,9,9,9,9
234,7,6,7,7,7
235,7,8,8,8,8
236,7,9,9,9,9
237,7,7,7,7,7
238,7,7,8,8,8
239,9,9,9,9,9
240,8,9,9,9,9
241,8,8,8,8,8
242,7,7,6,6,6
243,6,6,6,6,6
244,7,8,8,8,8
245,7,9,9,9,9
246,9,10,10,10,10
247,8,9,9,9,9
248,8,9,9,9,9
249,5,9,9,9,9
250,6,8,8,8,8
251,8,9,9,9,9
252,7,7,7,7,7
253,6,7,7,7,7
254,7,9,9,9,9
255,5,8,8,8,8
256,4,4,6,6,6
257,9,9,9,9,9
258,9,9,9,9,9
259,7,7,7,7,7
260,5,10,10,10,10
261,7,8,8,8,8
262,5,5,6,6,7
263,6,7,7,7,7
264,10,10,10,10,10
