次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
--------------,-------------,-我是分隔,線-----------,--------------,--------------
1,6,6,6,6,6
2,8,8,8,8,8
3,7,7,7,6,7
4,9,9,9,9,9
5,8,8,8,8,8
6,7,7,7,7,7
7,7,7,7,7,7
8,5,5,5,5,5
9,6,6,6,6,6
10,7,7,9,8,9
11,8,8,9,8,9
12,5,6,6,6,6
13,8,8,8,8,8
14,7,7,7,7,7
15,8,8,8,8,8
16,7,7,7,7,7
17,7,6,7,7,7
18,5,5,8,6,7
19,10,10,10,9,10
20,7,7,7,7,7
21,7,7,7,7,7
22,6,6,6,6,6
23,7,7,8,7,8
24,5,7,7,7,7
25,8,8,8,8,8
26,8,8,10,9,8
27,8,8,8,8,8
28,6,6,6,6,6
29,7,6,6,5,7
30,6,6,7,6,7
31,7,7,8,8,8
32,4,4,6,6,6
33,9,9,9,8,9
34,7,7,7,7,7
35,7,8,8,8,8
36,9,9,9,9,9
37,8,8,8,8,8
38,6,6,6,6,6
39,8,8,8,8,8
40,7,6,8,7,7
41,7,8,9,8,9
42,7,7,7,7,7
43,8,8,9,7,9
44,7,6,8,8,8
45,6,6,6,6,6
46,7,7,7,7,7
47,7,7,7,7,7
48,7,7,7,7,7
49,7,7,7,7,7
50,7,7,6,6,7
51,6,6,6,6,6
52,10,10,10,10,10
53,8,8,8,7,8
54,8,8,8,8,8
55,7,7,7,7,7
56,7,7,8,6,8
57,8,8,7,6,7
58,6,7,7,5,7
59,7,7,7,7,7
60,8,8,8,6,8
61,8,8,8,8,7
62,8,8,8,8,8
63,7,6,8,7,8
64,6,6,7,7,7
65,7,8,8,8,8
66,7,7,8,8,8
67,9,9,9,9,9
68,6,6,6,6,6
69,5,6,6,6,6
70,8,8,8,7,7
71,7,7,8,7,8
72,7,7,9,8,9
73,7,8,9,7,8
74,8,8,8,7,8
75,7,7,7,6,7
76,7,7,7,7,7
77,9,9,9,9,9
78,8,8,8,8,7
79,6,6,6,6,6
80,7,8,8,7,7
81,7,6,7,7,8
82,7,7,7,7,7
83,7,8,7,7,7
84,6,6,6,6,6
85,7,7,7,7,7
86,9,9,9,8,7
87,7,7,7,7,7
88,9,9,9,9,9
89,7,7,7,6,7
90,6,6,6,6,6
91,5,5,4,6,6
92,6,6,6,6,6
93,7,7,7,6,7
94,8,8,8,8,8
95,6,6,6,6,6
96,6,6,6,6,6
97,7,7,6,7,6
98,7,7,10,9,9
99,6,7,7,7,7
100,7,7,7,7,7
101,6,6,8,6,8
102,6,6,8,8,8
103,8,8,8,8,8
104,6,6,8,9,9
105,7,7,7,7,7
106,10,10,10,8,10
107,8,8,8,7,8
108,7,7,7,7,7
109,8,8,8,8,8
110,7,7,7,7,7
111,6,7,7,6,6
112,6,6,6,6,6
113,10,10,10,10,10
114,6,6,6,6,6
115,8,8,8,8,8
116,7,7,8,7,8
117,6,6,6,6,6
118,8,8,9,7,9
119,8,8,8,7,8
120,8,8,9,8,9
121,6,6,7,7,7
122,5,5,4,6,8
123,7,7,7,7,7
124,6,6,7,7,7
125,6,6,6,6,6
126,7,7,7,7,7
127,6,5,7,6,7
128,8,8,8,8,8
129,8,8,8,8,8
130,9,9,9,9,9
131,7,7,7,7,7
132,7,7,7,7,7
133,9,9,9,8,9
134,6,6,6,6,6
135,7,7,7,7,7
136,8,8,8,8,8
137,9,9,9,9,9
138,8,8,7,7,7
139,4,4,7,5,6
140,8,8,8,8,8
141,8,8,8,8,8
142,8,8,8,7,7
143,7,7,7,6,7
144,7,7,7,7,7
145,7,7,7,6,7
146,7,7,7,7,8
147,6,7,7,7,7
148,8,8,8,8,8
149,9,10,10,10,10
150,9,9,9,9,9
151,7,7,7,7,7
152,8,8,8,8,8
153,6,7,7,7,7
154,5,5,6,6,6
155,7,5,7,7,7
156,8,8,8,8,8
157,8,8,8,8,8
158,9,9,9,9,9
159,7,7,7,7,7
160,6,7,7,7,7
161,8,8,8,8,8
162,8,8,8,8,8
163,6,6,6,6,6
164,7,7,7,8,8
165,8,8,8,8,8
166,8,8,8,8,8
167,7,7,7,7,7
