次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,5,5,7,6,6
2,8,8,7,6,7
3,6,6,7,6,7
4,8,8,8,8,8
5,7,7,7,7,7
6,7,7,8,7,8
7,7,7,8,7,7
8,6,5,6,6,6
9,6,6,6,6,6
10,7,7,7,6,7
11,6,6,8,7,7
12,6,6,6,6,6
13,8,8,7,7,8
14,7,7,6,5,6
15,9,9,9,9,8
16,6,6,6,6,6
17,8,8,8,8,8
18,8,8,8,8,8
19,7,7,7,7,7
20,6,6,6,6,6
21,7,8,8,7,8
22,7,7,7,6,7
23,8,8,8,8,8
24,6,6,6,6,6
25,6,6,5,6,5
26,9,9,8,9,7
27,8,8,7,7,7
28,6,6,6,6,6
29,6,7,7,6,7
30,6,5,5,6,6
31,8,8,8,8,8
32,8,8,7,7,7
33,7,6,7,7,7
34,8,8,7,8,7
35,5,5,5,5,5
36,7,7,5,7,5
37,8,8,8,8,8
38,6,6,6,6,6
39,8,8,8,7,8
40,7,7,7,7,7
41,8,8,8,8,8
42,6,6,7,6,6
43,11,10,11,9,10
44,9,9,9,9,9
45,7,7,7,6,7
46,5,5,5,5,5
47,8,8,8,7,8
48,7,7,8,7,7
49,7,7,8,7,7
50,8,8,7,8,8
51,7,7,6,7,6
52,7,7,7,7,7
53,7,7,7,7,7
54,6,5,6,5,6
55,7,7,7,6,7
56,8,7,8,7,7
57,6,6,6,6,6
58,8,8,8,7,8
59,7,7,5,6,4
60,6,6,6,6,6
61,7,7,7,7,7
62,8,8,8,7,8
63,9,9,9,8,9
64,7,6,7,6,7
65,9,9,9,8,9
66,7,6,6,6,6
67,8,8,8,7,8
68,3,2,4,4,6
69,9,9,8,9,8
70,7,7,7,5,6
71,7,7,9,7,8
72,8,8,8,8,8
73,7,7,6,7,7
74,9,9,8,9,8
75,8,8,8,8,8
76,7,7,7,7,7
77,5,5,7,6,8
78,6,6,7,6,6
79,8,8,7,7,7
80,6,6,5,6,5
81,8,8,6,7,6
82,6,6,6,5,6
83,8,9,9,9,9
84,6,6,7,6,7
85,6,6,6,6,6
86,6,6,6,6,6
87,7,7,7,7,7
88,7,7,7,7,7
89,8,8,8,7,8
90,8,8,8,8,8
91,8,8,7,8,7
92,7,7,7,7,7
93,7,7,7,7,7
94,7,7,6,7,6
95,8,8,8,7,8
96,7,7,7,7,7
97,9,9,8,7,8
98,8,8,7,8,6
99,7,7,6,6,6
100,8,8,8,7,8
101,9,9,7,9,8
102,6,6,6,6,6
103,6,6,6,5,7
104,7,7,7,7,7
105,7,7,7,7,7
106,8,8,8,7,7
107,8,8,7,7,7
108,9,9,9,8,9
109,7,7,7,7,7
110,7,7,7,7,7
111,6,6,6,6,6
112,9,9,9,8,8
113,6,6,6,7,6
114,7,7,7,6,7
115,9,9,9,9,9
116,6,6,7,6,6
117,7,7,7,7,7
118,7,7,7,7,7
119,7,7,6,6,6
120,6,6,6,6,6
121,7,7,7,7,7
122,9,9,8,8,8
123,8,8,7,8,7
124,7,7,7,7,7
125,8,8,8,8,8
126,9,9,9,9,9
127,7,7,6,7,6
128,6,6,6,6,6
129,7,7,7,7,7
130,7,7,7,7,7
131,9,9,9,9,9
132,5,5,5,7,7
133,7,7,7,7,7
134,9,9,9,9,9
135,6,6,7,6,6
136,7,7,7,7,7
137,9,9,9,9,9
138,9,9,9,9,9
139,8,7,7,5,7
140,5,5,6,6,5
141,9,9,8,8,8
142,7,7,7,6,6
143,5,5,7,7,7
144,7,7,7,6,6
145,8,8,8,7,8
146,7,7,7,7,7
147,9,9,9,9,9
148,8,8,8,8,7
149,8,6,7,6,6
150,2,3,6,6,5
151,8,8,7,7,7
152,7,7,7,7,7
153,9,9,8,7,8
154,7,7,7,7,7
155,8,8,7,7,7
156,8,8,8,8,8
157,6,6,7,6,5
158,8,8,7,8,7
159,6,6,6,6,7
160,8,8,8,6,8
161,6,5,6,4,6
162,7,7,7,7,6
163,5,4,5,4,4
