次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,7,7,8,7,8
2,8,8,8,8,8
3,9,9,9,9,9
4,8,8,8,8,8
5,7,7,8,5,5
6,9,9,9,9,9
7,7,7,7,6,6
8,6,6,6,6,6
9,8,8,8,6,6
10,7,7,7,7,8
11,7,7,7,7,7
12,5,5,7,5,7
13,6,6,6,6,6
14,6,6,6,6,6
15,4,4,6,5,6
16,5,6,6,6,6
17,6,6,7,5,6
18,7,7,7,7,7
19,7,7,7,7,7
20,7,7,6,6,5
21,8,8,8,8,8
22,6,7,8,8,8
23,6,6,6,6,6
24,7,7,7,7,7
25,6,6,7,6,7
26,7,7,7,7,7
27,7,7,8,6,8
28,7,7,7,7,7
29,7,7,7,7,7
30,7,7,7,6,7
31,8,8,8,8,8
32,6,6,7,7,7
33,7,7,8,8,8
34,7,7,7,7,7
35,4,5,6,7,6
36,6,6,6,6,7
37,7,7,7,7,6
38,7,7,7,7,7
39,8,8,8,8,8
40,5,5,6,7,6
41,3,4,7,4,6
42,6,7,9,6,8
43,7,7,7,7,7
44,9,9,8,8,9
45,7,7,8,8,8
46,5,5,7,6,7
47,4,4,4,5,6
48,8,8,9,9,9
49,6,6,6,6,6
50,3,3,4,4,5
51,5,5,7,6,6
52,3,3,4,5,6
53,7,7,8,8,8
54,3,3,5,4,4
55,6,7,7,7,7
56,8,8,8,7,7
57,9,9,9,9,8
58,9,9,9,9,9
59,8,8,8,8,8
60,4,5,5,4,7
61,7,7,7,7,7
62,8,8,8,8,8
63,7,7,7,5,5
64,7,7,7,6,7
65,4,5,6,6,6
66,7,8,9,7,9
67,8,7,8,6,8
68,7,8,7,8,8
69,6,6,6,6,6
70,9,9,9,9,9
71,5,5,7,6,6
72,10,10,9,9,8
73,6,5,6,5,6
74,7,7,6,6,6
75,5,5,6,5,6
76,5,5,4,4,4
77,7,7,9,8,9
78,8,8,8,8,8
79,6,6,6,6,6
80,6,6,6,8,7
81,5,6,6,6,6
82,6,6,7,7,7
83,9,9,9,9,9
84,6,4,7,7,7
85,4,4,5,3,4
86,8,8,8,8,8
87,4,4,5,5,6
88,8,8,8,8,8
89,7,7,7,6,7
90,6,8,8,6,7
91,6,6,6,5,6
92,10,10,10,8,11
93,6,6,7,7,7
94,8,8,9,8,9
95,9,9,8,6,7
96,6,6,6,5,5
97,6,6,6,6,7
98,7,7,7,7,7
99,9,8,9,7,7
100,7,7,6,5,7
101,8,8,9,9,9
102,7,7,8,7,7
103,8,8,8,8,8
104,6,4,6,6,6
105,8,8,8,8,8
106,6,6,6,6,6
107,7,8,8,7,8
