次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,7,7,7,7,7
2,7,7,7,7,7
3,7,8,7,8,7
4,8,8,8,8,8
5,7,7,7,7,7
6,7,7,7,7,7
7,8,8,8,8,8
8,8,8,8,8,8
9,7,9,9,9,9
10,7,7,7,7,7
11,8,8,8,7,8
12,9,9,9,9,9
13,8,8,8,8,8
14,8,8,8,8,8
15,5,7,7,7,7
16,9,9,9,9,9
17,8,8,8,8,8
18,8,8,8,8,8
19,8,8,8,8,8
20,6,7,7,6,7
21,7,7,7,7,7
22,9,9,8,9,8
23,9,9,9,9,9
24,5,6,7,7,7
25,7,9,9,9,9
26,10,10,10,10,10
27,8,8,8,8,8
28,8,8,8,8,8
29,10,10,10,10,10
30,8,8,8,8,8
31,9,9,9,9,9
32,8,8,8,7,8
33,7,7,7,7,7
34,7,7,7,7,7
35,7,7,7,7,7
36,9,10,10,10,10
37,8,9,9,9,9
38,8,7,7,7,7
39,9,9,9,9,9
40,9,9,9,9,9
41,9,9,9,9,9
42,6,7,7,7,7
43,10,10,10,10,10
44,7,6,7,6,7
45,6,12,12,12,12
46,10,10,10,10,10
47,7,7,7,7,7
48,7,8,9,8,8
49,8,8,8,8,8
50,8,9,9,9,9
51,9,10,10,10,10
52,10,10,10,10,10
53,8,7,8,7,7
54,11,11,11,11,11
55,7,8,8,8,8
56,8,8,8,8,8
57,8,8,8,8,8
58,7,7,7,7,6
59,9,9,9,9,9
60,8,8,8,8,8
61,7,7,7,6,7
62,8,8,8,8,8
63,7,7,7,7,7
64,8,10,10,10,10
65,7,9,9,9,9
66,10,10,10,10,10
67,9,9,9,9,9
68,10,10,10,10,10
69,8,8,8,7,8
70,8,9,8,8,8
71,7,7,7,7,7
72,8,8,8,8,8
73,6,9,9,9,9
74,6,6,6,6,6
75,10,10,10,10,10
76,7,7,7,7,7
77,8,8,8,8,8
78,10,10,10,10,10
79,7,7,7,7,7
80,9,9,9,9,9
81,9,10,10,10,10
82,9,9,9,9,9
83,8,9,9,9,9
84,5,8,8,8,8
85,9,9,9,9,9
86,9,9,9,9,9
87,8,8,8,8,8
88,7,7,7,7,7
89,7,7,7,7,7
90,9,9,8,9,8
91,8,8,8,8,8
92,8,8,8,8,8
93,9,9,9,9,9
94,9,9,9,9,9
95,6,6,6,6,6
96,8,9,9,9,9
97,10,10,10,10,10
98,8,8,8,8,8
99,9,9,9,9,9
100,8,8,8,8,8
101,7,8,8,8,8
102,9,9,9,9,9
103,7,7,7,7,7
104,8,8,7,8,7
105,7,7,7,7,7
106,8,9,9,9,9
107,7,7,7,7,7
108,8,8,9,8,8
109,6,8,8,8,8
110,8,8,8,8,8
111,8,8,8,8,8
112,9,10,10,10,10
113,8,8,8,8,8
114,8,8,8,8,8
115,8,8,7,7,7
116,9,9,9,9,9
117,7,7,7,7,7
118,9,9,9,9,9
119,9,9,9,9,9
120,8,8,8,8,8
121,8,8,8,8,8
122,8,9,9,9,9
123,7,7,7,7,7
124,9,9,9,9,9
125,10,10,10,10,10
126,7,9,9,9,9
127,10,10,10,10,10
128,8,9,9,9,8
129,6,6,6,6,6
130,8,8,8,8,8
131,8,8,8,8,8
132,7,7,8,7,7
133,8,8,8,8,8
134,8,9,9,9,9
135,9,9,9,9,9
136,8,8,8,8,8
137,7,8,8,8,8
138,9,9,9,9,9
139,8,8,8,8,8
140,6,6,6,6,6
141,7,7,6,6,6
142,9,9,9,9,9
143,8,8,8,8,8
144,8,8,8,8,8
145,7,7,5,6,6
146,9,9,9,9,9
147,8,8,8,8,8
148,7,7,7,7,7
149,9,9,9,9,9
150,6,6,6,6,6
151,8,8,8,8,8
152,9,9,9,9,8
153,8,7,7,6,7
154,7,7,7,7,7
155,8,8,8,8,8
156,9,9,9,9,9
157,8,8,8,8,8
158,8,9,8,9,8
159,8,8,8,8,8
160,6,6,6,6,6
161,8,8,8,8,8
162,6,5,6,5,6
163,7,7,7,7,7
