次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,9,9,9,9,9
2,8,8,7,6,7
3,8,8,8,8,8
4,9,9,9,9,9
5,8,8,8,8,8
6,7,6,7,6,7
7,8,8,8,8,8
8,7,7,7,7,7
9,7,7,7,7,7
10,10,10,10,10,9
11,7,7,7,7,7
12,7,7,7,7,7
13,7,7,7,7,7
14,8,8,8,7,8
15,8,8,8,8,8
16,7,7,7,7,7
17,6,6,6,6,6
18,7,7,7,7,7
19,7,7,7,7,7
20,8,8,8,8,8
21,9,9,9,9,9
22,5,6,6,5,6
23,6,6,6,6,6
24,8,8,8,8,8
25,7,7,7,7,7
26,7,7,7,6,7
27,8,8,8,8,8
28,9,9,9,8,8
29,6,5,5,5,5
30,8,8,7,8,8
31,7,7,7,7,7
32,8,8,8,7,8
33,8,8,8,7,8
34,7,7,7,7,7
35,7,7,6,6,6
36,6,6,6,6,6
37,7,7,7,7,7
38,7,7,7,7,7
39,7,7,7,7,7
40,8,8,8,7,8
41,7,7,7,7,7
42,10,10,9,8,9
43,11,11,9,10,10
44,8,8,7,7,7
45,7,7,6,6,6
46,8,8,8,8,7
47,9,9,9,9,9
48,9,9,9,9,10
49,11,10,11,10,9
50,6,6,6,6,6
51,8,8,8,8,8
52,7,7,8,7,7
53,8,8,8,8,8
54,7,7,7,7,7
55,7,7,7,7,7
56,8,8,7,7,7
57,7,7,6,6,6
58,8,8,9,8,9
59,8,8,8,8,8
60,10,10,10,10,10
61,6,6,6,6,6
62,6,6,5,6,5
63,7,7,7,7,7
64,7,7,7,7,7
65,7,7,7,7,7
66,7,7,6,6,6
67,8,8,7,8,7
68,6,6,6,5,5
69,7,7,7,7,7
70,7,7,7,7,7
71,7,8,6,6,6
72,7,7,7,7,7
73,8,8,8,8,8
74,8,8,8,8,8
75,8,8,8,8,8
76,9,9,8,7,9
77,7,7,7,7,7
78,8,8,8,7,7
79,7,6,6,6,6
80,7,7,7,7,7
81,7,7,7,7,7
82,7,7,7,7,7
83,8,8,8,8,8
84,7,7,7,7,7
85,7,7,7,7,7
86,8,8,8,8,8
87,7,7,7,7,7
88,7,7,7,7,7
89,8,8,7,7,7
90,7,7,7,7,7
91,9,9,9,9,9
92,7,7,7,7,7
93,8,8,8,8,7
94,9,9,9,9,9
95,9,9,9,9,9
96,7,7,7,7,7
97,8,8,7,8,7
98,8,8,8,8,8
99,6,6,6,6,6
100,8,8,8,8,8
101,6,6,6,6,6
102,7,7,7,7,7
103,6,6,5,6,5
104,6,6,6,6,6
105,9,9,9,9,9
106,8,8,7,8,7
107,7,7,7,7,7
108,7,7,7,7,7
109,9,9,9,9,8
