¦¸¼Æ,time
NCB
100,flows
1,493
2,498
3,449
4,456
5,460
6,402
7,416
8,447
9,450
10,448
11,481
12,474
13,451
14,456
15,554
16,461
17,423
18,480
19,424
20,478
140,flows
1,589
2,573
3,603
4,630
5,603
6,640
7,600
8,645
9,555
10,612
11,635
12,640
13,552
14,577
15,600
16,551
17,657
18,729
19,543
20,604
180,flows
1,753
2,755
3,805
4,729
5,733
6,734
7,725
8,765
9,756
10,736
11,756
12,765
13,766
14,664
15,699
16,696
17,791
18,784
19,760
20,691
220,flows
1,897
2,786
3,770
4,861
5,900
6,855
7,958
8,957
9,835
10,1088
11,799
12,906
13,933
14,913
15,971
16,914
17,976
18,926
19,856
20,941
260,flows
1,928
2,984
3,1152
4,1065
5,1048
6,975
7,1020
8,1002
9,1009
10,1011
11,1057
12,989
13,1121
14,1034
15,1192
16,907
17,1093
18,1088
19,1021
20,994
PB
100,flows
1,797
2,700
3,670
4,720
5,690
6,621
7,674
8,630
9,734
10,720
11,715
12,660
13,605
14,727
15,765
16,684
17,635
18,666
19,663
20,756
140,flows
1,884
2,854
3,825
4,863
5,909
6,856
7,852
8,859
9,812
10,870
11,855
12,887
13,803
14,847
15,848
16,821
17,872
18,959
19,818
20,808
180,flows
1,1037
2,1016
3,1057
4,965
5,975
6,941
7,1024
8,1051
9,1044
10,1005
11,1041
12,1068
13,1044
14,1008
15,1055
16,957
17,1126
18,1058
19,1027
20,986
220,flows
1,1181
2,1138
3,1138
4,1140
5,1214
6,1142
7,1288
8,1267
9,1172
10,1303
11,1117
12,1237
13,1275
14,1229
15,1310
16,1270
17,1302
18,1149
19,1090
20,1202
260,flows
1,1299
2,1257
3,1394
4,1373
5,1413
6,1310
7,1275
8,1363
9,1318
10,1363
11,1372
12,1360
13,1403
14,1328
15,1505
16,1252
17,1389
18,1425
19,1317
20,1304
STB
100,flows
1,893
2,867
3,735
4,808
5,803
6,656
7,757
8,792
9,800
10,863
11,936
12,799
13,794
14,825
15,1028
16,875
17,739
18,860
19,738
20,888
140,flows
1,1044
2,1067
3,1100
4,1155
5,1064
6,1179
7,1084
8,1114
9,962
10,1059
11,1134
12,1037
13,961
14,960
15,1084
16,1022
17,1086
18,1236
19,1132
20,1061
180,flows
1,1346
2,1363
3,1411
4,1308
5,1202
6,1279
7,1259
8,1319
9,1328
10,1306
11,1384
12,1372
13,1331
14,1262
15,1374
16,1287
17,1465
18,1403
19,1418
20,1169
220,flows
1,1484
2,1479
3,1456
4,1497
5,1513
6,1538
7,1733
8,1547
9,1475
10,1864
11,1515
12,1591
13,1677
14,1611
15,1591
16,1618
17,1697
18,1646
19,1475
20,1582
260,flows
1,1729
2,1764
3,1923
4,1872
5,1910
6,1747
7,1738
8,1782
9,1816
10,1682
11,1725
12,1843
13,1876
14,1769
15,1904
16,1625
17,1888
18,1888
19,1764
20,1706
JDPS
100,flows
1,832
2,766
3,752
4,767
5,709
6,633
7,718
8,747
9,815
10,785
11,794
12,726
13,709
14,845
15,864
16,734
17,669
18,774
19,750
20,838
140,flows
1,899
2,997
3,1039
4,945
5,1013
6,985
7,890
8,1093
9,947
10,1044
11,1032
12,982
13,912
14,965
15,979
16,915
17,1261
18,1145
19,964
20,953
180,flows
1,1270
2,1186
3,1220
4,1220
5,1190
6,1089
7,1175
8,1209
9,1226
10,1217
11,1229
12,1259
13,1207
14,1163
15,1135
16,1153
17,1229
18,1260
19,1190
20,1116
220,flows
1,1426
2,1354
3,1383
4,1361
5,1410
6,1349
7,1280
8,1354
9,1320
10,1450
11,1319
12,1485
13,1555
14,1405
15,1458
16,1442
17,1591
18,1403
19,1316
20,1427
260,flows
1,1540
2,1377
3,831
4,1648
5,1674
6,1586
7,1534
8,1568
9,1649
10,1608
11,1322
12,1616
13,1717
14,1535
15,1714
16,1439
17,792
18,1715
19,1583
20,1546
FS
100,flows
1,919
2,886
3,805
4,798
5,876
6,676
7,796
8,768
9,875
10,831
11,938
12,847
13,746
14,838
15,949
16,872
17,760
18,884
19,781
20,853
140,flows
1,1013
2,1067
3,1147
4,1108
5,1058
6,1172
7,1078
8,1103
9,943
10,1046
11,1145
12,1098
13,1049
14,1016
15,1063
16,1002
17,1345
18,1262
19,1060
20,1088
180,flows
1,1284
2,1322
3,1413
4,1287
5,1215
6,1214
7,781
8,1294
9,1333
10,1279
11,1315
12,1495
13,1278
14,1265
15,815
16,1368
17,1468
18,1434
19,1672
20,1204
220,flows
1,1066
2,1256
3,1514
4,1409
5,1627
6,1477
7,1432
8,1584
9,1488
10,1591
11,1380
12,937
13,1703
14,1504
15,1618
16,1596
17,1808
18,1664
19,1505
20,1606
260,flows
1,1743
2,1572
3,873
4,1850
5,1913
6,1706
7,1628
8,858
9,1801
10,1669
11,1471
12,1867
13,1923
14,1717
15,1901
16,1570
17,866
18,1932
19,1769
20,1712
