¦¸¼Æ,time
NCB
100,flows
1,461
2,465
3,485
4,473
5,424
6,419
7,488
8,423
9,472
10,538
11,456
12,458
13,454
14,508
15,471
16,443
17,467
18,483
19,425
20,450
140,flows
1,580
2,593
3,595
4,545
5,588
6,604
7,520
8,569
9,566
10,604
11,617
12,643
13,622
14,569
15,565
16,564
17,604
18,531
19,678
20,683
180,flows
1,827
2,682
3,794
4,757
5,685
6,803
7,698
8,822
9,804
10,683
11,708
12,759
13,708
14,746
15,822
16,779
17,776
18,728
19,780
20,639
220,flows
1,893
2,867
3,863
4,877
5,833
6,938
7,836
8,878
9,790
10,872
11,845
12,873
13,833
14,847
15,896
16,1009
17,845
18,953
19,823
20,881
260,flows
1,1018
2,1007
3,1071
4,1151
5,969
6,1037
7,954
8,1095
9,997
10,957
11,908
12,1015
13,1065
14,943
15,1053
16,916
17,977
18,1036
19,919
20,1088
PB
100,flows
1,693
2,717
3,710
4,681
5,640
6,699
7,712
8,678
9,782
10,689
11,658
12,676
13,654
14,704
15,679
16,778
17,683
18,689
19,642
20,627
140,flows
1,848
2,888
3,912
4,824
5,871
6,922
7,804
8,831
9,886
10,844
11,827
12,867
13,892
14,809
15,779
16,808
17,842
18,805
19,916
20,902
180,flows
1,1183
2,1002
3,1051
4,1011
5,990
6,1115
7,1003
8,1101
9,1108
10,1001
11,962
12,1067
13,991
14,1026
15,1114
16,1100
17,1053
18,962
19,1101
20,965
220,flows
1,1241
2,1144
3,1163
4,1204
5,1091
6,1234
7,1106
8,1260
9,1086
10,1133
11,1157
12,1137
13,1132
14,1168
15,1169
16,1273
17,1119
18,1234
19,1166
20,1187
260,flows
1,1303
2,1297
3,1394
4,1444
5,1300
6,1282
7,1335
8,1382
9,1302
10,1297
11,1286
12,1317
13,1355
14,1276
15,1377
16,1271
17,1320
18,1296
19,1295
20,1370
STB
100,flows
1,826
2,849
3,903
4,866
5,725
6,759
7,829
8,729
9,877
10,904
11,814
12,782
13,839
14,777
15,764
16,787
17,824
18,862
19,834
20,774
140,flows
1,1098
2,1058
3,1006
4,1021
5,1098
6,1092
7,1075
8,1005
9,1049
10,1134
11,1057
12,1068
13,1062
14,1081
15,1067
16,1023
17,1021
18,1015
19,1098
20,1126
180,flows
1,1385
2,1293
3,1309
4,1278
5,1264
6,1461
7,1223
8,1435
9,1379
10,1272
11,1181
12,1388
13,1344
14,1308
15,1465
16,1418
17,1369
18,1248
19,1418
20,1189
220,flows
1,1561
2,1619
3,1501
4,1513
5,1416
6,1659
7,1510
8,1536
9,1386
10,1642
11,1527
12,1477
13,1459
14,1449
15,1614
16,1701
17,1588
18,1667
19,1498
20,1575
260,flows
1,1818
2,1830
3,1828
4,1910
5,1726
6,1806
7,1734
8,1793
9,1372
10,1715
11,1650
12,1796
13,1888
14,1750
15,1870
16,1706
17,1800
18,1809
19,1685
20,1765
JDPS
100,flows
1,719
2,782
3,831
4,715
5,724
6,661
7,799
8,716
9,816
10,851
11,722
12,733
13,753
14,792
15,832
16,827
17,713
18,777
19,764
20,689
140,flows
1,941
2,941
3,1017
4,884
5,951
6,978
7,911
8,969
9,981
10,923
11,951
12,1005
13,982
14,964
15,938
16,935
17,933
18,853
19,1096
20,1092
180,flows
1,1260
2,1147
3,1172
4,1137
5,1180
6,1280
7,947
8,1217
9,1235
10,1224
11,1091
12,1281
13,1261
14,1195
15,964
16,1256
17,1195
18,1154
19,1302
20,1098
220,flows
1,1502
2,1377
3,1361
4,1410
5,1331
6,1428
7,1318
8,1450
9,1322
10,1207
11,1405
12,1313
13,1305
14,1341
15,1430
16,1427
17,1404
18,1478
19,1352
20,1424
260,flows
1,997
2,1383
3,1648
4,1674
5,1461
6,1354
7,1649
8,1575
9,1259
10,1555
11,1502
12,1442
13,1591
14,1715
15,1583
16,1546
17,1642
18,1611
19,1557
20,1652
FS
100,flows
1,817
2,834
3,873
4,854
5,736
6,781
7,858
8,747
9,831
10,937
11,806
12,815
13,822
14,866
15,795
16,815
17,815
18,804
19,783
20,746
140,flows
1,1066
2,1014
3,1059
4,1003
5,1108
6,1092
7,1028
8,1059
9,1165
10,1867
11,1036
12,1618
13,1042
14,1040
15,1003
16,1049
17,1024
18,972
19,1078
20,1174
180,flows
1,1743
2,1256
3,1368
4,1290
5,1581
6,1432
7,943
8,1279
9,1380
10,746
11,1265
12,1901
13,1345
14,1303
15,1060
16,1356
17,1406
18,1213
19,1374
20,1212
220,flows
1,886
2,1572
3,1409
4,1627
5,1706
6,1103
7,1488
8,1591
9,1471
10,1278
11,1504
12,872
13,1468
14,1664
15,1672
16,1606
17,1588
18,1676
19,1520
20,1529
260,flows
1,1067
2,1514
3,1850
4,1913
5,1721
6,1584
7,1801
8,1857
9,1495
10,1703
11,1063
12,1596
13,1808
14,1932
15,1769
16,1712
17,1763
18,1755
19,1780
20,1850
