¦¸¼Æ,time
NCB
100,flows
1,388
2,391
3,418
4,360
5,382
6,421
7,374
8,400
9,465
10,374
11,336
12,454
13,380
14,433
15,402
16,374
17,374
18,405
19,368
20,336
140,flows
1,465
2,437
3,514
4,515
5,475
6,542
7,511
8,523
9,430
10,509
11,553
12,480
13,455
14,449
15,561
16,536
17,598
18,500
19,475
20,548
180,flows
1,550
2,599
3,514
4,599
5,612
6,599
7,548
8,572
9,611
10,542
11,652
12,557
13,649
14,582
15,696
16,535
17,606
18,656
19,591
20,644
220,flows
1,742
2,723
3,749
4,734
5,677
6,669
7,696
8,698
9,739
10,705
11,755
12,629
13,745
14,698
15,663
16,670
17,646
18,737
19,709
20,683
260,flows
1,821
2,948
3,861
4,807
5,745
6,825
7,859
8,821
9,776
10,852
11,759
12,807
13,768
14,743
15,792
16,938
17,794
18,748
19,874
20,848
PB
100,flows
1,591
2,600
3,550
4,519
5,659
6,626
7,541
8,641
9,657
10,509
11,556
12,675
13,596
14,642
15,567
16,568
17,610
18,586
19,539
20,534
140,flows
1,677
2,687
3,692
4,733
5,722
6,775
7,699
8,779
9,679
10,732
11,819
12,711
13,726
14,716
15,809
16,756
17,844
18,748
19,723
20,707
180,flows
1,763
2,867
3,785
4,901
5,929
6,865
7,809
8,841
9,879
10,808
11,949
12,831
13,860
14,810
15,925
16,808
17,815
18,866
19,821
20,893
220,flows
1,1009
2,995
3,1093
4,1049
5,962
6,953
7,926
8,987
9,990
10,1001
11,1072
12,943
13,1028
14,1006
15,937
16,996
17,889
18,1079
19,1005
20,1014
260,flows
1,1198
2,1190
3,1218
4,1197
5,1086
6,1128
7,1141
8,1173
9,1153
10,1174
11,1085
12,1139
13,1102
14,1065
15,1185
16,1259
17,1151
18,1078
19,1109
20,1121
STB
100,flows
1,692
2,676
3,682
4,650
5,789
6,729
7,552
8,774
9,781
10,606
11,645
12,773
13,711
14,739
15,671
16,637
17,662
18,716
19,658
20,568
140,flows
1,833
2,817
3,881
4,847
5,895
6,963
7,873
8,938
9,750
10,892
11,961
12,875
13,898
14,815
15,984
16,852
17,945
18,905
19,887
20,932
180,flows
1,1021
2,1105
3,977
4,1062
5,1073
6,1089
7,986
8,1140
9,1071
10,1024
11,1145
12,996
13,1106
14,1046
15,1183
16,944
17,1067
18,1140
19,1173
20,1123
220,flows
1,1344
2,1444
3,1287
4,1364
5,1285
6,1226
7,1159
8,1265
9,1257
10,1276
11,1233
12,1189
13,1326
14,1217
15,1268
16,1186
17,1186
18,1404
19,1345
20,1243
260,flows
1,1443
2,1615
3,1480
4,1441
5,1476
6,1402
7,1558
8,1471
9,1498
10,1522
11,1420
12,1399
13,1453
14,1445
15,1489
16,1550
17,1485
18,1398
19,1413
20,1491
JDPS
100,flows
1,683
2,691
3,705
4,597
5,750
6,681
7,599
8,743
9,701
10,573
11,650
12,695
13,682
14,670
15,597
16,565
17,643
18,695
19,551
20,602
140,flows
1,770
2,724
3,806
4,782
5,807
6,915
7,805
8,856
9,652
10,772
11,956
12,782
13,755
14,735
15,946
16,833
17,948
18,822
19,795
20,814
180,flows
1,909
2,1084
3,884
4,1065
5,987
6,911
7,973
8,973
9,967
10,960
11,1148
12,923
13,970
14,948
15,1110
16,947
17,1031
18,980
19,1013
20,1015
220,flows
1,1118
2,1261
3,1309
4,1243
5,1099
6,1199
7,1072
8,1119
9,1170
10,1361
11,1407
12,1157
13,1164
14,1165
15,1081
16,1117
17,1076
18,1213
19,1175
20,1130
260,flows
1,1372
2,1476
3,1395
4,1428
5,1236
6,1301
7,1331
8,1382
9,1337
10,722
11,1286
12,1331
13,1407
14,1252
15,1329
16,1466
17,1227
18,1279
19,1396
20,1341
FS
100,flows
1,723
2,654
3,699
4,648
5,777
6,730
7,548
8,796
9,778
10,644
11,661
12,810
13,730
14,749
15,624
16,613
17,686
18,736
19,653
20,588
140,flows
1,840
2,779
3,893
4,829
5,917
6,953
7,873
8,916
9,778
10,881
11,951
12,844
13,922
14,826
15,1002
16,842
17,1027
18,892
19,848
20,915
180,flows
1,997
2,1086
3,1004
4,1149
5,1033
6,1065
7,1024
8,1137
9,1044
10,998
11,1411
12,991
13,1230
14,1089
15,1164
16,942
17,1145
18,1048
19,1100
20,1130
220,flows
1,1323
2,1386
3,1311
4,1352
5,1300
6,1191
7,1217
8,998
9,1309
10,1518
11,1528
12,1207
13,1497
14,1276
15,1179
16,1203
17,1225
18,1348
19,1392
20,1191
260,flows
1,1477
2,1666
3,1216
4,839
5,1417
6,1363
7,1525
8,1482
9,1391
10,739
11,1412
12,1328
13,699
14,1442
15,1479
16,1546
17,1287
18,1442
19,1373
20,748
