¦¸¼Æ,time
NCB
100,flows
1,440
2,359
3,442
4,460
5,359
6,360
7,401
8,429
9,369
10,333
11,357
12,390
13,411
14,387
15,376
16,382
17,375
18,376
19,359
20,435
140,flows
1,472
2,468
3,494
4,506
5,546
6,467
7,444
8,529
9,580
10,476
11,525
12,482
13,491
14,504
15,571
16,500
17,502
18,599
19,531
20,551
180,flows
1,588
2,565
3,648
4,610
5,575
6,581
7,644
8,588
9,646
10,600
11,600
12,605
13,654
14,649
15,627
16,575
17,594
18,575
19,590
20,606
220,flows
1,693
2,688
3,701
4,689
5,599
6,791
7,650
8,747
9,729
10,740
11,840
12,616
13,654
14,689
15,710
16,603
17,749
18,670
19,798
20,697
260,flows
1,820
2,789
3,937
4,907
5,678
6,672
7,861
8,827
9,824
10,786
11,754
12,810
13,865
14,719
15,808
16,808
17,924
18,816
19,837
20,726
PB
100,flows
1,633
2,577
3,592
4,586
5,565
6,576
7,574
8,651
9,569
10,518
11,558
12,605
13,528
14,605
15,592
16,551
17,636
18,558
19,585
20,561
140,flows
1,720
2,686
3,785
4,680
5,797
6,661
7,731
8,725
9,793
10,749
11,778
12,737
13,699
14,682
15,766
16,761
17,664
18,729
19,811
20,765
180,flows
1,813
2,825
3,892
4,895
5,839
6,818
7,851
8,848
9,903
10,890
11,874
12,809
13,905
14,864
15,858
16,806
17,875
18,854
19,842
20,819
220,flows
1,966
2,979
3,979
4,959
5,845
6,1021
7,934
8,1043
9,957
10,958
11,1081
12,911
13,924
14,992
15,991
16,927
17,996
18,992
19,1099
20,945
260,flows
1,1096
2,1099
3,1190
4,1131
5,970
6,990
7,1120
8,1216
9,1077
10,1077
11,1108
12,1173
13,1147
14,1049
15,1110
16,1121
17,1200
18,1175
19,1192
20,964
STB
100,flows
1,690
2,644
3,714
4,729
5,698
6,639
7,651
8,721
9,598
10,655
11,668
12,649
13,590
14,716
15,687
16,674
17,732
18,656
19,582
20,601
140,flows
1,858
2,784
3,864
4,785
5,1051
6,850
7,880
8,825
9,1003
10,906
11,994
12,844
13,834
14,878
15,915
16,957
17,794
18,942
19,950
20,864
180,flows
1,1032
2,1052
3,1135
4,1097
5,973
6,1052
7,1104
8,1140
9,1108
10,1125
11,1145
12,1045
13,1272
14,1098
15,1129
16,967
17,1113
18,1076
19,1060
20,1071
220,flows
1,1194
2,1248
3,1291
4,1219
5,1130
6,1397
7,1196
8,1364
9,1291
10,1219
11,1364
12,1212
13,1188
14,1237
15,1235
16,1131
17,1298
18,1321
19,1369
20,1240
260,flows
1,1508
2,1373
3,1680
4,1568
5,1290
6,1282
7,1495
8,1530
9,1500
10,1455
11,1468
12,1438
13,1518
14,1348
15,1483
16,1601
17,1725
18,1579
19,1560
20,1191
JDPS
100,flows
1,708
2,608
3,646
4,687
5,676
6,586
7,658
8,722
9,646
10,582
11,599
12,644
13,510
14,680
15,661
16,556
17,678
18,598
19,610
20,618
140,flows
1,754
2,750
3,823
4,724
5,929
6,722
7,810
8,755
9,852
10,777
11,858
12,777
13,835
14,793
15,849
16,850
17,769
18,964
19,866
20,842
180,flows
1,988
2,964
3,1115
4,960
5,936
6,1007
7,997
8,999
9,695
10,959
11,1010
12,931
13,1024
14,1006
15,976
16,981
17,981
18,939
19,935
20,933
220,flows
1,1121
2,1147
3,1166
4,1134
5,986
6,1170
7,1152
8,1148
9,1263
10,1062
11,1325
12,1076
13,1178
14,1076
15,1044
16,1105
17,1166
18,1195
19,1306
20,1164
260,flows
1,1476
2,1312
3,681
4,1331
5,1130
6,1279
7,1361
8,1407
9,1397
10,1458
11,1252
12,1335
13,1466
14,1227
15,1279
16,1015
17,1492
18,1348
19,1410
20,1169
FS
100,flows
1,699
2,638
3,695
4,687
5,649
6,628
7,651
8,739
9,625
10,685
11,699
12,672
13,573
14,720
15,716
16,626
17,749
18,704
19,621
20,658
140,flows
1,870
2,885
3,839
4,786
5,1137
6,814
7,880
8,841
9,996
10,881
11,917
12,837
13,880
14,862
15,926
16,1008
17,748
18,900
19,887
20,911
180,flows
1,1038
2,1015
3,1103
4,1089
5,998
6,1107
7,1130
8,1122
9,810
10,922
11,1131
12,1058
13,942
14,1145
15,1088
16,999
17,1127
18,1076
19,1133
20,1060
220,flows
1,1221
2,1216
3,1322
4,1250
5,1103
6,1427
7,1176
8,1411
9,991
10,1230
11,1276
12,1198
13,1203
14,1225
15,1281
16,1373
17,1261
18,1317
19,1435
20,1265
260,flows
1,1666
2,1391
3,953
4,1525
5,1203
6,1303
7,1518
8,1528
9,1510
10,1436
11,1442
12,1479
13,1546
14,1287
15,1442
16,1191
17,1760
18,1511
19,1532
20,1195
