¦¸¼Æ,flows
NCB
100,flows
1,27
2,26
3,27
4,26
5,25
6,27
7,29
8,25
9,28
10,25
11,29
12,27
13,26
14,28
15,25
16,31
17,27
18,26
19,30
20,28
21,24
22,30
23,24
24,28
25,29
26,30
27,27
28,29
29,29
30,30
31,30
32,28
33,27
34,25
35,32
36,29
37,26
38,28
39,25
40,27
41,26
42,29
43,26
44,28
45,27
46,26
47,27
48,27
49,31
50,28
51,29
52,27
53,27
54,22
55,28
56,24
57,28
58,24
59,27
60,28
61,25
62,28
63,28
64,27
65,28
66,30
67,27
68,29
69,20
70,28
71,29
72,29
73,28
74,27
75,25
76,26
77,30
78,25
79,29
80,26
81,26
82,27
83,27
84,33
85,28
86,28
87,27
88,27
89,26
90,23
91,27
92,27
93,26
94,27
95,27
96,28
97,27
98,27
99,28
100,28
140,flows
1,31
2,33
3,28
4,29
5,34
6,32
7,29
8,31
9,33
10,31
11,31
12,26
13,31
14,27
15,29
16,31
17,28
18,29
19,34
20,30
21,30
22,29
23,32
24,31
25,31
26,33
27,31
28,32
29,34
30,30
31,29
32,30
33,32
34,32
35,32
36,32
37,34
38,33
39,31
40,34
41,34
42,30
43,32
44,31
45,31
46,32
47,32
48,30
49,32
50,32
51,27
52,35
53,31
54,33
55,30
56,32
57,29
58,32
59,29
60,33
61,31
62,30
63,28
64,31
65,30
66,29
67,31
68,27
69,35
70,34
71,32
72,32
73,31
74,28
75,32
76,34
77,33
78,30
79,29
80,32
81,33
82,32
83,32
84,28
85,28
86,28
87,32
88,29
89,33
90,29
91,32
92,30
93,31
94,32
95,33
96,32
97,29
98,29
99,28
100,32
180,flows
1,33
2,36
3,34
4,36
5,39
6,40
7,34
8,38
9,35
10,36
11,36
12,32
13,34
14,30
15,33
16,39
17,35
18,34
19,32
20,32
21,36
22,38
23,35
24,35
25,31
26,36
27,38
28,33
29,31
30,32
31,34
32,31
33,36
34,32
35,32
36,30
37,33
38,35
39,36
40,37
41,34
42,35
43,33
44,33
45,33
46,30
47,35
48,34
49,35
50,33
51,33
52,33
53,34
54,34
55,36
56,33
57,36
58,32
59,34
60,32
61,36
62,33
63,32
64,30
65,34
66,35
67,38
68,36
69,32
70,36
71,33
72,37
73,32
74,35
75,32
76,39
77,37
78,31
79,31
80,36
81,35
82,32
83,36
84,33
85,35
86,35
87,37
88,33
89,37
90,35
91,37
92,35
93,34
94,32
95,33
96,32
97,31
98,32
99,32
100,37
220,flows
1,34
2,41
3,38
4,34
5,41
6,38
7,33
8,33
9,36
10,35
11,40
12,31
13,33
14,39
15,34
16,39
17,34
18,35
19,38
20,40
21,38
22,35
23,37
24,38
25,35
26,39
27,37
28,36
29,35
30,38
31,34
32,33
33,35
34,39
35,34
36,37
37,35
38,36
39,34
40,33
41,34
42,35
43,35
44,36
45,36
46,34
47,37
48,36
49,39
50,38
51,36
52,40
53,40
54,38
55,39
56,34
57,32
58,35
59,41
60,37
61,39
62,34
63,38
64,35
65,33
66,38
67,36
68,35
69,37
70,36
71,39
72,33
73,34
74,39
75,38
76,38
77,36
78,41
79,40
80,36
81,35
82,35
83,33
84,36
85,37
86,41
87,38
88,38
89,35
90,34
91,40
92,39
93,35
94,38
95,38
96,36
97,38
98,34
99,36
100,34
260,flows
1,37
2,39
3,39
4,41
5,41
6,42
7,40
8,36
9,38
10,38
11,35
12,39
13,38
14,36
15,41
16,37
17,37
18,40
19,39
20,33
21,39
22,40
23,39
24,36
25,40
26,37
27,39
28,36
29,44
30,38
31,38
32,39
33,37
34,35
35,41
36,36
37,37
38,40
39,39
40,42
41,41
42,38
43,36
44,36
45,36
46,38
47,37
48,42
49,39
50,37
51,36
52,36
53,38
54,40
55,41
56,35
57,36
58,42
59,40
60,36
61,35
62,44
63,37
64,38
65,37
66,44
67,37
68,39
69,40
70,38
71,34
72,42
73,37
74,38
75,38
76,38
77,42
78,41
79,36
80,40
81,38
82,41
83,40
84,38
85,35
86,36
87,37
88,39
89,39
90,38
91,40
92,39
93,36
94,36
95,36
96,38
97,40
98,41
99,36
100,35
PB
100,flows
1,23
2,21
3,20
4,19
5,26
6,29
7,23
8,19
9,22
10,19
11,17
12,18
13,21
14,24
15,22
16,19
17,24
18,17
19,24
20,17
21,23
22,21
23,15
24,23
25,22
26,20
27,22
28,20
29,20
30,22
31,20
32,18
33,19
34,21
35,27
36,21
37,21
38,26
39,17
40,25
41,26
42,22
43,19
44,22
45,22
46,22
47,19
48,24
49,24
50,20
51,20
52,20
53,19
54,23
55,16
56,22
57,22
58,25
59,23
60,19
61,20
62,24
63,25
64,19
65,23
66,18
67,21
68,20
69,18
70,26
71,23
72,18
73,24
74,23
75,25
76,23
77,21
78,21
79,20
80,24
81,20
82,20
83,19
84,27
85,19
86,20
87,19
88,22
89,21
90,18
91,23
92,22
93,17
94,20
95,17
96,21
97,21
98,20
99,24
100,23
140,flows
1,27
2,21
3,22
4,23
5,26
6,22
7,30
8,21
9,24
10,24
11,24
12,24
13,21
14,20
15,25
16,27
17,23
18,29
19,28
20,21
21,20
22,25
23,25
24,25
25,23
26,23
27,26
28,26
29,27
30,21
31,19
32,25
33,23
34,28
35,21
36,25
37,25
38,26
39,25
40,24
41,27
42,19
43,21
44,26
45,21
46,21
47,23
48,23
49,23
50,24
51,26
52,24
53,26
54,26
55,23
56,28
57,24
58,25
59,23
60,28
61,24
62,23
63,19
64,21
65,23
66,22
67,27
68,24
69,28
70,26
71,21
72,18
73,28
74,23
75,18
76,28
77,28
78,21
79,24
80,18
81,23
82,24
83,22
84,19
85,23
86,22
87,26
88,18
89,25
90,25
91,26
92,19
93,24
94,24
95,17
96,24
97,21
98,24
99,19
100,26
180,flows
1,27
2,20
3,25
4,27
5,28
6,26
7,22
8,27
9,30
10,23
11,22
12,19
13,28
14,20
15,29
16,29
17,28
18,19
19,26
20,24
21,24
22,26
23,24
24,24
25,26
26,24
27,33
28,24
29,23
30,22
31,29
32,22
33,26
34,17
35,23
36,22
37,25
38,21
39,29
40,29
41,26
42,24
43,22
44,31
45,30
46,28
47,23
48,27
49,25
50,26
51,23
52,28
53,29
54,23
55,29
56,26
57,27
58,33
59,23
60,23
61,26
62,25
63,20
64,23
65,24
66,30
67,30
68,27
69,22
70,25
71,27
72,30
73,17
74,27
75,28
76,22
77,26
78,25
79,28
80,25
81,21
