¦¸¼Æ,flows
NCB
100,flows
1,29
2,27
3,31
4,31
5,31
6,29
7,28
8,31
9,32
10,29
11,27
12,28
13,28
14,28
15,33
16,30
17,29
18,31
19,30
20,32
21,30
22,26
23,30
24,32
25,31
26,32
27,29
28,31
29,31
30,26
31,29
32,26
33,26
34,27
35,28
36,28
37,30
38,31
39,27
40,26
41,33
42,34
43,27
44,29
45,28
46,29
47,27
48,26
49,28
50,28
51,30
52,27
53,34
54,29
55,29
56,30
57,28
58,29
59,29
60,30
61,29
62,29
63,31
64,28
65,31
66,27
67,28
68,31
69,30
70,30
71,28
72,30
73,28
74,29
75,30
76,32
77,30
78,28
79,31
80,29
81,32
82,28
83,29
84,29
85,27
86,31
87,29
88,30
89,26
90,30
91,28
92,29
93,31
94,28
95,30
96,28
97,27
98,32
99,30
100,30
140,flows
1,38
2,34
3,37
4,30
5,35
6,34
7,33
8,34
9,39
10,32
11,32
12,34
13,34
14,34
15,35
16,38
17,32
18,34
19,36
20,34
21,29
22,34
23,32
24,31
25,32
26,34
27,35
28,35
29,35
30,38
31,39
32,35
33,35
34,37
35,36
36,34
37,31
38,32
39,33
40,33
41,36
42,33
43,33
44,33
45,38
46,28
47,35
48,32
49,37
50,31
51,30
52,33
53,41
54,33
55,34
56,38
57,35
58,39
59,31
60,33
61,36
62,33
63,34
64,35
65,32
66,34
67,35
68,34
69,35
70,32
71,33
72,35
73,35
74,32
75,33
76,34
77,34
78,35
79,36
80,36
81,28
82,33
83,34
84,30
85,31
86,32
87,34
88,36
89,35
90,32
91,34
92,32
93,34
94,33
95,34
96,34
97,30
98,33
99,35
100,32
180,flows
1,34
2,41
3,33
4,36
5,34
6,35
7,37
8,41
9,37
10,43
11,36
12,35
13,38
14,42
15,35
16,40
17,34
18,40
19,39
20,40
21,37
22,37
23,37
24,36
25,35
26,36
27,39
28,35
29,38
30,35
31,39
32,32
33,38
34,34
35,40
36,38
37,37
38,37
39,39
40,41
41,35
42,36
43,37
44,36
45,38
46,38
47,37
48,37
49,42
50,37
51,36
52,38
53,37
54,40
55,36
56,37
57,40
58,32
59,33
60,34
61,37
62,43
63,37
64,36
65,36
66,35
67,34
68,34
69,37
70,36
71,38
72,35
73,39
74,39
75,39
76,39
77,40
78,36
79,32
80,37
81,39
82,40
83,40
84,40
85,35
86,39
87,35
88,37
89,39
90,33
91,37
92,38
93,40
94,37
95,37
96,35
97,35
98,40
99,39
100,38
220,flows
1,38
2,39
3,42
4,34
5,37
6,39
7,39
8,38
9,40
10,38
11,40
12,42
13,40
14,38
15,37
16,41
17,41
18,40
19,42
20,37
21,36
22,37
23,40
24,40
25,40
26,43
27,43
28,45
29,37
30,39
31,37
32,34
33,40
34,39
35,39
36,36
37,44
38,35
39,43
40,41
41,38
42,42
43,38
44,40
45,39
46,42
47,41
48,38
49,44
50,40
51,42
52,42
53,42
54,39
55,39
56,47
57,41
58,40
59,39
60,40
61,39
62,37
63,40
64,44
65,39
66,41
67,43
68,36
69,43
70,38
71,40
72,37
73,41
74,43
75,40
76,45
77,38
78,38
79,37
80,37
81,42
82,41
83,38
84,42
85,38
86,38
87,38
88,42
89,37
90,41
91,40
92,41
93,41
94,42
95,42
96,45
97,38
98,41
99,43
100,40
260,flows
1,46
2,43
3,47
4,39
5,43
6,39
7,44
8,39
9,45
10,41
11,40
12,45
13,41
14,40
15,43
16,40
17,49
18,43
19,40
20,44
21,44
22,41
23,39
24,48
25,45
26,43
27,41
28,43
29,43
30,38
31,42
32,42
33,41
34,46
35,40
36,44
37,44
38,42
39,42
40,41
41,41
42,43
43,49
44,40
45,41
46,43
47,40
48,43
49,44
50,42
51,42
52,43
53,40
54,40
55,45
56,38
57,43
58,41
59,43
60,44
61,44
62,46
63,43
64,44
65,40
66,45
67,44
68,41
69,36
70,42
71,45
72,45
73,37
74,42
75,41
76,43
77,40
78,42
79,42
80,39
81,43
82,46
83,41
84,44
85,39
86,40
87,41
88,42
89,37
90,43
91,43
92,40
93,44
94,42
95,45
96,45
97,34
98,41
99,42
100,42
PB
100,flows
1,19
2,20
3,25
4,26
5,28
6,26
7,21
8,25
9,30
10,25
11,24
12,25
13,27
14,22
15,30
16,31
17,24
18,25
19,23
20,25
21,24
22,20
23,26
24,21
25,24
26,24
27,21
28,26
29,23
30,21
31,24
32,25
33,23
34,26
35,19
36,23
37,29
38,25
39,25
40,25
41,26
42,27
43,28
44,25
45,22
46,23
47,24
48,25
49,27
50,29
51,26
52,23
53,24
54,25
55,25
56,24
57,24
58,23
59,26
60,24
61,25
62,23
63,26
64,25
65,28
66,20
67,24
68,23
69,28
70,23
71,26
72,27
73,24
74,28
75,24
76,28
77,24
78,25
79,23
80,24
81,26
82,27
83,18
84,23
85,22
86,23
87,22
88,27
89,18
90,20
91,23
92,24
93,30
94,27
95,24
96,24
97,27
98,29
99,18
100,21
140,flows
1,29
2,29
3,28
4,26
5,27
6,29
7,25
8,28
9,24
10,22
11,28
12,26
13,25
14,26
15,27
16,23
17,29
18,26
19,32
20,32
21,20
22,29
23,23
24,29
25,24
26,26
27,26
28,27
29,32
30,28
31,29
32,25
33,28
34,28
35,29
36,28
37,27
38,28
39,26
40,25
41,24
42,27
43,28
44,28
45,31
46,29
47,24
48,30
49,26
50,25
51,23
52,26
53,30
54,29
55,24
56,30
57,32
58,32
59,23
60,26
61,27
62,23
63,27
64,34
65,24
66,28
67,30
68,27
69,19
70,30
71,24
72,31
73,25
74,23
75,27
76,25
77,24
78,29
79,25
80,26
81,26
82,29
83,26
84,28
85,25
86,25
87,28
88,26
89,26
90,24
91,28
92,28
93,27
94,31
95,29
96,24
97,27
98,34
99,28
100,22
180,flows
1,28
2,32
3,29
4,31
5,25
6,27
7,25
8,30
9,28
10,31
11,30
12,20
13,26
14,39
15,25
16,30
17,33
18,32
19,32
20,32
21,26
22,31
23,30
24,31
25,28
26,31
27,34
28,24
29,30
30,29
31,34
32,22
33,29
34,29
35,31
36,33
37,32
38,32
39,31
40,28
41,32
42,28
43,32
44,34
45,23
46,24
47,27
48,32
49,31
50,28
51,30
52,29
53,27
54,29
55,31
56,23
57,27
58,28
59,27
60,26
61,29
62,29
63,24
64,30
65,31
66,28
67,24
68,21
69,27
70,26
71,25
72,26
73,32
74,25
75,34
76,25
77,30
78,25
79,27
80,29
81,33
