次數,原始排序,Weight排序,GCD排序,包容力排序
Time_Forward
20,flows
1,259,199,211,307
2,251,243,181,224
3,268,266,208,209
4,229,196,203,192
5,186,202,244,251
6,236,242,235,251
7,240,223,189,216
8,207,239,235,281
9,204,321,225,278
10,183,254,205,191
11,186,198,201,294
12,222,237,201,190
13,319,271,210,282
14,274,287,194,202
15,182,221,196,266
16,212,294,223,305
17,201,239,206,190
18,266,226,195,234
19,224,303,243,333
20,189,255,221,266
21,262,221,215,214
22,194,283,239,272
23,208,219,177,221
24,213,178,237,260
25,238,254,195,201
26,212,213,276,215
27,288,183,232,273
28,254,228,232,285
29,248,294,270,193
30,226,192,225,193
31,237,234,198,241
32,202,329,241,258
33,398,253,261,245
34,197,213,283,313
35,240,251,229,189
36,217,209,245,262
37,248,216,235,359
38,201,202,206,230
39,228,240,263,240
40,347,254,275,299
41,200,205,242,335
42,249,290,221,200
43,238,293,254,187
44,184,210,261,245
45,307,214,248,257
46,196,250,245,211
47,225,199,249,286
48,287,295,204,268
49,313,280,200,221
50,174,227,242,216
51,273,231,237,262
52,197,235,235,262
53,190,212,213,240
54,196,283,280,267
55,181,200,198,216
56,233,199,220,257
57,206,300,229,245
58,212,231,200,235
59,216,232,248,223
60,280,249,221,206
61,269,198,180,201
62,236,194,216,200
63,251,254,201,295
64,236,252,255,217
65,205,235,320,239
66,235,245,260,200
67,220,240,287,229
68,239,244,296,205
69,243,287,220,235
70,234,292,254,270
71,200,231,239,200
72,233,256,233,281
73,199,216,247,206
74,214,206,261,212
75,256,243,249,208
76,182,313,240,190
77,195,247,198,247
78,238,241,204,202
79,272,192,237,206
80,205,270,254,270
81,231,218,242,201
82,250,249,263,253
83,199,338,236,301
84,268,196,238,255
85,289,245,220,343
86,258,231,206,246
87,220,196,257,279
88,268,256,208,229
89,293,190,263,247
90,207,277,242,190
91,214,236,202,185
92,253,242,224,252
93,198,250,258,279
94,204,209,201,220
95,210,276,236,249
96,244,194,287,209
97,226,235,269,249
98,272,306,225,222
99,209,254,238,210
100,233,336,222,271
40,flows
1,307,358,335,344
2,501,471,304,351
3,308,326,294,348
4,386,335,327,339
5,319,377,308,348
6,355,354,310,349
7,380,356,339,434
8,325,332,348,357
9,401,272,373,284
10,355,343,390,344
11,332,326,362,350
12,424,449,334,394
13,280,304,341,402
14,354,384,365,404
15,419,376,392,365
16,334,336,338,342
17,364,280,334,357
18,356,410,362,315
19,329,316,366,450
20,329,458,381,333
21,321,347,299,378
22,335,330,371,377
23,369,309,352,514
24,331,357,352,287
25,315,293,265,383
26,390,356,312,352
27,353,369,320,311
28,335,346,315,386
29,321,352,358,348
30,460,294,326,372
31,342,331,279,360
32,338,410,279,510
33,309,345,299,347
34,347,404,327,325
35,359,324,332,292
36,299,403,358,348
37,360,357,344,309
38,489,324,353,341
39,336,330,289,394
40,373,400,361,337
41,337,327,299,399
42,503,392,348,338
43,354,369,313,402
44,327,408,311,344
45,348,413,385,292
46,279,379,282,404
47,405,418,353,304
48,402,349,382,361
49,399,402,261,388
50,359,417,333,353
51,412,398,399,372
52,344,431,302,362
53,347,348,372,309
54,439,332,299,386
55,349,353,285,317
56,339,402,337,453
57,344,348,304,367
58,378,412,322,389
59,408,381,426,395
60,366,316,293,383
61,461,288,391,385
62,349,382,310,345
63,389,411,447,373
64,349,469,338,317
65,345,337,369,269
66,340,346,418,371
67,296,365,342,374
68,302,297,339,369
69,354,354,338,381
70,332,378,495,432
71,314,381,308,375
72,452,341,281,301
73,359,369,417,322
74,379,373,333,397
75,344,317,332,370
76,322,403,390,285
77,376,326,280,347
78,422,384,395,461
79,305,363,353,295
80,306,299,312,388
81,350,358,393,424
82,387,326,305,398
83,372,452,295,357
84,404,332,298,302
85,334,326,326,336
86,295,317,377,437
87,364,391,412,308
88,301,328,349,367
89,282,366,287,349
90,334,324,292,366
91,370,402,312,318
92,360,404,301,376
93,295,396,335,310
94,332,383,261,400
95,459,455,323,321
96,370,305,324,323
97,392,384,359,332
98,356,312,351,355
99,372,423,406,318
100,312,478,329,297
60,flows
1,439,473,552,507
2,472,459,381,483
3,441,524,504,463
