次數,原始排序,Weight排序,GCD排序,包容力排序
Time_Forward
20,flows
1,208,208,232,276
2,212,231,250,266
3,208,279,275,251
4,270,228,215,295
5,232,250,219,225
6,291,199,249,292
7,226,205,211,270
8,213,195,284,237
9,230,236,281,236
10,262,217,356,189
11,280,223,253,274
12,279,336,182,236
13,193,290,190,254
14,213,278,198,273
15,271,203,226,221
16,250,221,216,292
17,239,256,191,209
18,218,206,222,215
19,287,255,231,236
20,257,243,225,250
21,259,224,198,224
22,199,263,209,219
23,189,261,228,211
24,201,292,250,297
25,248,230,230,185
26,238,364,267,224
27,216,223,201,203
28,230,252,273,198
29,204,211,221,219
30,259,204,208,213
31,274,327,174,254
32,212,224,236,235
33,438,234,200,301
34,237,255,273,211
35,215,199,259,248
36,232,269,187,250
37,225,275,244,286
38,215,259,209,195
39,288,233,201,243
40,236,251,203,260
41,203,191,197,268
42,251,271,299,216
43,205,214,207,275
44,221,322,203,208
45,240,285,208,242
46,209,182,275,342
47,207,310,255,202
48,214,290,230,248
49,236,220,267,231
50,286,239,196,200
51,206,209,212,266
52,258,247,285,191
53,320,232,174,206
54,225,236,226,239
55,209,193,221,243
56,226,254,286,183
57,246,207,231,252
58,215,200,208,329
59,233,278,197,251
60,218,182,197,215
61,198,244,221,223
62,324,264,224,273
63,256,200,252,232
64,275,282,194,210
65,270,224,225,364
66,302,233,255,288
67,269,246,229,211
68,229,288,271,245
69,238,252,210,241
70,184,205,257,260
71,230,239,179,206
72,241,186,227,237
73,202,300,241,234
74,188,198,266,279
75,260,258,222,217
76,247,238,201,244
77,288,210,245,203
78,194,352,229,202
79,295,307,297,207
80,237,207,198,256
81,238,271,199,311
82,267,235,271,254
83,223,202,258,239
84,324,207,258,271
85,229,187,318,196
86,207,210,194,270
87,208,190,315,233
88,189,342,183,181
89,216,252,205,312
90,208,221,242,209
91,199,179,247,281
92,241,187,276,265
93,216,219,331,292
94,277,273,306,255
95,237,237,251,208
96,265,266,223,194
97,293,284,241,274
98,243,255,174,220
99,215,233,241,226
100,234,245,245,202
40,flows
1,411,360,308,339
2,308,282,338,340
3,399,325,324,367
4,391,331,340,329
5,373,415,345,337
6,305,307,304,359
7,318,368,319,286
8,372,364,281,309
9,448,333,425,484
10,303,351,332,316
11,284,338,360,341
12,293,404,349,393
13,345,345,384,301
14,354,327,299,349
15,406,354,359,360
16,393,328,412,396
17,363,286,384,304
18,446,344,303,352
19,392,321,361,322
20,423,359,465,326
21,329,301,400,349
22,277,409,403,367
23,413,345,311,380
24,365,442,378,322
25,368,387,306,346
26,298,327,282,337
27,327,376,316,330
28,302,378,334,378
29,346,353,321,353
30,392,385,379,423
31,333,313,333,339
32,352,344,407,285
33,360,348,324,327
34,408,356,264,369
35,358,418,305,324
36,349,344,339,311
37,329,344,430,340
38,358,358,355,400
39,330,281,397,306
40,305,337,337,303
41,411,411,293,343
42,365,306,368,314
43,313,317,340,327
44,343,376,318,397
45,352,296,381,319
46,359,419,349,337
47,340,352,275,287
48,416,335,326,348
49,340,327,369,367
50,370,416,285,330
51,328,371,278,424
52,345,302,298,407
53,420,385,340,348
54,381,362,310,419
55,284,374,334,380
56,363,373,385,320
57,345,419,370,431
58,324,324,349,371
59,364,370,341,294
60,329,411,360,367
61,360,307,332,304
62,311,340,394,341
63,335,383,328,340
64,337,318,276,360
65,351,325,329,341
66,332,303,347,383
67,371,442,346,298
68,355,276,338,315
69,329,343,330,333
70,320,356,308,400
71,380,375,336,389
72,424,333,292,308
73,310,376,401,376
74,498,338,353,365
75,316,340,303,345
76,252,401,276,385
77,310,363,324,286
78,306,303,340,346
79,300,329,293,365
80,430,293,332,346
81,383,364,289,322
82,297,377,305,352
83,321,349,391,321
84,344,332,332,359
85,333,427,305,350
86,283,276,305,355
87,322,334,304,325
88,302,441,308,338
89,368,310,339,293
90,360,320,303,275
91,338,397,316,376
92,291,369,341,480
93,330,325,359,354
94,377,279,337,382
95,342,361,315,344
96,268,365,327,385
97,295,480,290,317
98,390,322,404,437
99,383,365,396,322
100,306,328,303,370
60,flows
1,435,523,479,387
2,492,421,405,488
3,474,457,412,379
