次數,原始排序,Weight排序,GCD排序,包容力排序
Time_Forward
20,flows
1,282,222,252,244
2,220,242,200,256
3,218,212,210,280
4,197,209,244,281
5,256,285,207,195
6,258,225,212,227
7,210,220,281,250
8,172,206,216,242
9,183,186,314,274
10,300,184,271,196
11,292,227,243,297
12,276,218,169,224
13,236,200,206,232
14,255,257,183,285
15,209,225,258,286
16,395,252,220,258
17,255,215,214,201
18,206,254,257,183
19,261,190,202,189
20,281,290,231,236
21,279,218,249,257
22,220,215,220,221
23,228,213,217,272
24,167,297,242,172
25,179,199,245,253
26,212,180,238,170
27,271,212,212,207
28,233,237,212,233
29,195,252,227,246
30,212,223,211,187
31,204,201,225,296
32,221,248,294,264
33,282,231,256,276
34,183,281,224,291
35,231,239,247,208
36,223,185,212,188
37,227,298,170,190
38,224,217,254,211
39,247,202,314,190
40,230,199,239,188
41,187,203,194,198
42,285,244,244,338
43,258,197,189,221
44,203,224,184,175
45,196,254,222,210
46,198,267,218,194
47,236,224,197,232
48,236,268,210,198
49,273,278,196,206
50,235,216,198,270
51,217,202,277,255
52,352,295,212,216
53,241,207,250,223
54,254,249,217,191
55,190,218,191,263
56,279,247,258,227
57,244,249,204,229
58,250,258,267,222
59,232,198,189,189
60,216,247,222,249
61,196,341,179,219
62,266,222,224,275
63,257,184,235,187
64,241,278,216,247
65,242,276,224,216
66,203,228,257,246
67,224,192,256,265
68,250,230,164,270
69,208,198,267,208
70,305,196,240,213
71,186,255,261,268
72,208,247,228,186
73,295,176,221,241
74,256,238,258,222
75,215,200,183,202
76,262,301,263,261
77,242,241,188,272
78,237,267,196,290
79,253,218,212,221
80,234,214,206,192
81,195,228,205,189
82,260,251,289,300
83,229,243,215,281
84,255,250,266,225
85,238,265,243,257
86,183,259,191,188
87,191,307,186,222
88,239,194,210,293
89,292,246,251,305
90,208,201,232,246
91,267,203,197,193
92,181,253,241,213
93,197,185,217,272
94,217,229,225,164
95,213,294,169,251
96,271,274,223,203
97,194,194,242,247
98,240,188,213,277
99,192,212,241,255
100,250,234,203,311
40,flows
1,384,482,491,330
2,406,426,398,343
3,363,319,302,381
4,404,383,350,351
5,370,454,551,341
6,305,370,302,319
7,344,343,293,394
8,369,358,380,338
9,312,366,341,327
10,421,355,323,385
11,399,302,333,308
12,309,398,367,328
13,335,309,299,329
14,409,290,301,336
15,421,382,284,306
16,316,371,311,314
17,324,277,416,348
18,408,355,333,303
19,381,387,317,364
20,337,339,310,439
21,332,291,268,313
22,330,401,373,291
23,361,285,327,381
24,382,410,353,336
25,413,357,452,289
26,453,296,320,366
27,330,374,350,329
28,374,396,361,303
29,358,418,402,337
30,323,342,323,336
31,423,361,364,281
32,331,451,429,314
33,344,326,327,325
34,374,377,376,347
35,292,373,299,428
36,306,344,334,301
37,322,298,395,297
38,401,310,417,304
39,267,296,399,360
40,333,389,331,359
41,371,288,313,347
42,363,338,344,413
43,287,295,284,283
44,492,334,356,295
45,350,338,346,316
46,273,385,341,284
47,340,392,357,279
48,337,334,364,305
49,413,334,332,319
50,338,291,393,340
51,349,348,448,299
52,345,352,346,327
53,371,333,405,352
54,457,403,327,372
55,333,392,358,304
56,364,389,313,307
57,271,297,293,362
58,305,348,383,283
59,315,274,293,351
60,335,362,344,401
61,322,426,348,319
62,386,365,395,356
63,312,356,383,303
64,302,307,384,332
65,334,367,371,304
66,358,456,333,313
67,327,337,354,443
68,321,364,319,381
69,331,349,278,370
70,335,269,357,324
71,364,356,370,355
72,381,470,401,327
73,390,328,302,362
74,323,322,295,418
75,275,340,335,393
76,320,402,338,345
77,256,302,330,412
78,302,364,362,307
79,371,361,335,353
80,318,317,376,383
81,333,296,294,381
82,332,412,282,346
83,361,398,367,349
84,415,326,387,298
85,316,332,354,281
86,290,344,341,323
87,311,474,338,516
88,304,388,310,288
89,319,519,311,348
90,314,323,293,278
91,304,376,299,318
92,394,299,297,325
93,317,364,365,330
94,364,336,315,290
95,331,338,367,377
96,398,318,421,389
97,317,338,361,294
98,377,377,326,291
99,400,436,355,322
100,306,321,301,281
60,flows
1,482,528,524,434
2,520,451,445,430
3,404,501,502,471
