次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,7,7,7,7,7
2,10,10,9,8,8
3,8,8,7,6,7
4,8,7,8,7,7
5,7,7,7,7,7
6,8,8,8,7,7
7,6,6,7,6,7
8,7,7,7,7,7
9,7,7,7,7,7
10,7,7,7,6,7
11,5,5,6,5,6
12,6,4,6,5,5
13,7,7,7,6,6
14,6,6,6,5,5
15,6,7,6,6,6
16,9,9,8,9,8
17,8,8,8,8,8
18,8,8,8,8,8
19,7,7,7,5,7
20,7,7,7,6,7
21,8,8,8,8,8
22,9,9,8,7,8
23,5,5,5,5,5
24,8,8,8,7,8
25,6,7,7,7,7
26,3,2,5,4,5
27,6,6,6,5,5
28,7,7,7,7,7
29,7,8,8,8,7
30,7,7,7,7,7
31,7,7,7,7,6
32,9,9,8,8,8
33,6,7,7,5,7
34,6,6,6,6,6
35,8,7,9,7,8
36,8,8,8,8,8
37,6,6,6,6,6
38,8,8,8,8,8
39,7,7,7,7,7
40,8,8,8,7,8
41,7,7,6,5,6
42,9,9,9,7,8
43,5,5,5,6,5
44,7,7,7,6,6
45,6,6,6,6,6
46,8,8,8,7,7
47,7,7,7,6,7
48,7,7,7,7,7
49,9,9,9,9,9
50,6,5,6,5,7
51,7,7,7,7,7
52,6,6,6,6,6
53,4,4,5,5,5
54,5,5,6,5,6
55,9,9,9,8,9
56,6,5,5,5,5
57,7,7,7,6,7
58,5,5,6,6,6
59,8,8,8,7,8
60,7,7,7,6,7
61,7,7,7,7,7
62,7,7,7,7,7
63,6,6,5,5,5
64,7,7,7,7,7
65,9,9,9,8,8
66,8,8,6,6,6
67,6,6,6,5,5
68,8,8,8,7,8
69,6,5,5,5,5
70,7,7,7,8,8
71,9,8,9,7,8
72,5,5,6,6,6
73,8,8,8,8,8
74,7,7,7,5,7
75,8,8,8,8,8
76,5,5,6,5,6
77,7,7,7,7,7
78,6,6,6,6,6
79,7,7,6,6,6
80,7,7,7,6,7
81,8,8,7,7,8
82,7,7,7,6,7
83,8,8,8,8,7
84,8,8,8,8,8
85,7,6,7,7,7
86,7,7,7,7,7
87,6,6,7,5,7
88,7,7,8,6,6
89,10,10,9,9,9
90,6,6,7,7,7
91,8,8,8,8,8
92,8,7,8,7,8
93,5,5,6,5,5
94,8,8,8,8,7
95,8,8,8,8,8
96,8,8,7,8,7
97,7,7,7,7,7
98,8,8,7,8,7
99,9,9,9,9,9
100,8,8,8,8,8
101,7,7,8,6,7
102,7,7,7,7,7
103,8,8,7,7,7
104,9,9,9,8,8
105,7,7,7,7,7
106,7,7,7,7,7
107,6,6,6,6,5
108,8,7,7,7,7
109,7,7,7,7,7
110,8,8,8,8,8
111,8,8,8,7,7
112,8,8,7,6,7
113,6,6,6,6,6
114,8,8,8,8,8
115,7,6,7,6,7
116,9,9,9,8,9
117,6,7,7,7,6
118,6,5,7,6,6
119,9,9,9,7,9
120,9,9,8,9,8
121,9,9,9,8,7
122,7,7,7,7,7
123,8,8,7,8,7
124,9,9,9,8,9
125,8,8,7,7,7
126,9,9,9,7,8
127,8,8,7,6,7
128,7,7,7,7,7
129,9,9,8,8,8
130,7,7,7,7,7
131,7,7,7,7,7
132,7,6,6,6,6
133,8,8,8,6,7
134,9,9,9,9,9
135,7,7,7,6,7
136,8,8,8,8,8
137,8,7,7,8,8
138,8,8,8,6,8
139,8,8,9,7,9
140,6,6,6,6,6
141,6,6,5,6,5
142,9,9,8,8,8
143,7,7,7,4,5
144,7,7,7,7,7
145,7,7,7,5,6
146,8,8,8,8,8
147,7,8,8,8,8
148,8,7,8,6,6
149,8,7,10,7,8
150,7,7,7,7,7
151,9,9,8,8,8
152,8,8,8,7,8
153,9,9,8,8,8
154,7,6,6,6,6
155,9,9,9,9,9
156,7,7,9,6,8
157,8,8,8,8,8
158,8,8,8,6,8
159,8,8,8,8,8
160,3,4,5,5,6
161,7,7,7,7,7
162,8,7,7,7,7
163,8,8,7,8,7
164,7,7,8,7,7
165,7,8,8,7,8
166,6,7,7,7,7
167,5,5,6,6,6
168,7,7,6,8,6
169,6,5,6,6,6
170,5,5,6,4,4
171,8,8,8,8,7
172,7,6,7,6,7
173,8,8,9,8,8
174,8,8,8,7,8
175,8,8,8,7,8
176,8,8,7,7,7
177,9,9,9,7,9
178,6,6,6,6,6
179,8,8,7,8,7
180,9,9,9,8,9
181,7,7,7,5,6
182,7,7,7,7,7
183,6,6,6,6,6
184,4,4,5,4,4
185,7,7,7,7,7
186,8,8,7,7,7
187,9,9,9,8,9
188,6,6,5,5,5
189,7,6,6,6,6
190,8,8,8,8,8
191,6,6,7,6,7
192,7,7,7,7,7
193,7,7,7,7,7
194,8,8,8,7,7
195,8,8,7,7,6
196,7,7,7,6,7
197,7,7,7,7,7
198,6,6,6,5,6
199,7,7,7,7,7
200,8,7,7,7,7
201,6,5,6,5,6
202,9,8,8,8,8
203,9,9,9,9,9
204,6,6,6,6,6
205,8,8,8,8,8
206,7,7,7,6,6
207,9,9,9,7,9
208,9,9,9,9,9
209,8,8,8,8,8
210,3,4,5,5,6
211,7,7,7,7,7
212,7,7,7,6,7
213,7,7,7,6,7
214,6,6,5,6,6
215,7,6,7,7,6
216,9,9,9,9,9
217,6,5,6,5,5
218,7,7,7,7,7
219,6,6,7,6,6
220,8,8,7,7,7
221,8,8,7,8,7
222,6,6,7,6,7
223,5,5,6,5,6
224,9,9,7,8,7
225,6,6,6,6,6
226,8,8,8,6,7
227,7,7,7,6,6
228,7,7,8,7,8
229,7,7,7,7,7
230,7,6,6,6,6
231,7,7,7,6,7
232,7,7,7,7,7
233,7,7,7,7,7
234,5,5,6,5,5
235,8,8,7,7,7
236,7,7,7,7,7
237,8,8,7,6,8
238,4,5,4,5,4
239,9,9,9,9,8
240,10,9,10,9,9
241,7,7,6,5,6
242,6,6,7,6,5
243,3,3,4,6,6
244,8,8,9,8,8
245,6,6,7,7,7
246,6,6,6,6,6
247,9,9,8,8,8
248,6,7,7,7,7
249,6,6,7,7,7
250,9,9,8,5,8
251,7,8,8,8,8
252,7,7,8,7,7
253,7,7,7,7,7
254,7,7,7,7,7
255,7,7,7,6,7
256,7,7,7,6,6
257,7,7,7,5,6
258,9,8,9,8,9
259,7,7,7,7,7
260,6,6,6,5,6
261,9,9,8,8,8
262,6,6,6,6,6
263,7,7,7,7,7
264,8,8,8,8,8
265,8,8,7,8,7
266,5,5,5,6,6
267,8,8,9,8,9
268,7,7,8,6,7
269,9,9,9,9,9
270,6,6,8,6,8
271,7,7,7,6,7
272,6,6,6,6,5
273,7,7,6,5,6
274,6,5,5,4,5
275,6,5,7,5,6
276,8,8,9,7,9
277,5,5,6,5,5
278,11,11,11,10,11
279,7,7,7,7,7
280,7,7,7,6,7
281,8,8,8,8,8
282,5,6,6,6,6
283,8,8,7,8,7
284,6,6,5,6,6
285,7,7,7,7,6
286,6,6,7,6,7
287,9,9,9,8,9
288,6,5,6,6,5
289,6,6,6,5,5
290,8,8,7,8,7
291,6,6,6,6,6
292,9,8,9,9,9
293,6,5,6,5,6
294,7,7,7,7,7
295,6,6,5,6,6
296,7,7,7,7,7
297,7,7,7,7,7
298,8,8,7,8,7
299,8,8,8,7,8
300,5,5,5,5,5
301,6,6,6,6,6
302,6,6,6,6,6
303,8,8,8,8,8
304,7,6,7,6,7
305,7,7,7,5,6
306,9,9,9,8,9
307,7,7,8,7,8
308,6,6,6,6,6
309,7,7,7,6,7
310,7,7,7,7,7
311,8,8,8,7,8
312,8,8,7,7,7
313,7,7,8,6,7
314,7,7,8,6,7
315,9,9,9,8,7
316,9,9,9,8,9
317,7,7,7,7,7
318,7,7,7,6,7
319,9,9,9,9,8
320,7,7,7,7,7
321,5,5,6,6,5
322,8,8,8,7,8
323,8,8,8,7,7
324,8,8,8,7,8
325,7,6,6,6,6
326,7,7,7,7,7
327,6,6,7,5,6
328,8,8,8,8,8
329,6,6,6,5,6
330,5,5,6,7,7
331,8,8,8,8,8
332,7,7,6,6,6
333,6,6,6,6,6
334,8,8,8,8,8
335,5,6,7,6,7
336,5,4,6,5,6
337,7,7,7,7,8
338,7,7,7,7,7
339,6,6,7,6,7
340,9,9,9,9,9
341,6,6,6,6,6
342,7,7,6,7,6
343,7,7,6,6,6
344,7,6,7,7,7
345,7,7,7,6,7
346,5,5,5,6,5
347,7,7,7,7,7
348,6,6,6,6,6
349,5,5,5,5,5
350,8,8,8,8,8
351,2,3,5,4,6
352,6,6,6,6,6
353,7,7,7,7,7
354,6,6,6,6,6
355,8,8,8,7,7
356,4,4,6,6,6
357,7,7,7,6,7
358,8,8,8,7,8
