次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,6,6,6,6,6
2,6,7,8,8,8
3,5,5,6,6,7
4,4,4,5,5,6
5,8,8,7,7,8
6,5,5,8,6,8
7,4,4,5,6,6
8,7,7,7,7,7
9,7,7,7,7,7
10,8,8,7,7,8
11,7,7,7,7,7
12,5,5,5,6,6
13,7,7,7,7,7
14,7,7,8,7,8
15,6,6,6,7,6
16,7,8,7,8,7
17,7,7,7,6,7
18,6,6,7,7,7
19,6,6,7,5,8
20,8,8,8,8,8
21,6,6,7,6,7
22,5,5,4,5,5
23,8,8,8,8,8
24,9,9,9,9,9
25,5,7,5,4,5
26,5,6,7,7,7
27,4,2,6,5,6
28,5,7,7,7,7
29,8,8,8,7,7
30,7,7,7,6,7
31,9,10,10,9,9
32,10,10,10,9,10
33,6,6,9,8,9
34,7,7,7,7,7
35,5,5,7,6,6
36,8,8,8,8,8
37,3,3,6,5,6
38,9,9,9,9,9
39,7,7,8,8,8
40,3,3,6,5,6
41,8,8,8,8,7
42,4,4,5,5,5
43,6,6,7,6,7
44,6,6,7,6,6
45,8,8,7,8,8
46,9,9,9,7,8
47,4,6,7,6,7
48,7,7,7,7,8
49,6,6,6,5,6
50,6,6,7,7,6
51,7,7,7,6,5
52,5,6,6,5,6
53,6,6,7,6,6
54,6,6,6,6,6
55,5,6,6,7,7
56,6,6,6,6,6
57,7,7,8,8,8
58,6,4,6,6,6
59,6,6,8,8,9
60,8,8,8,8,8
61,3,3,5,5,7
62,4,5,6,6,6
63,8,8,9,8,8
64,6,6,6,5,5
65,6,6,7,6,6
66,8,8,8,8,8
67,4,4,5,5,5
68,7,7,7,6,6
69,4,4,4,4,4
70,6,6,6,6,7
71,6,7,6,6,6
72,4,5,5,5,5
73,6,6,5,5,6
74,9,9,9,9,9
75,4,4,5,7,8
76,5,3,4,6,5
77,7,7,7,7,7
78,9,9,9,8,9
79,5,5,7,7,7
80,5,5,7,5,6
81,5,5,6,6,7
82,5,5,6,5,6
83,5,5,6,5,7
84,9,9,9,9,9
85,6,7,7,7,7
86,5,5,7,6,7
87,7,7,7,7,7
88,7,7,7,7,7
89,5,6,6,6,6
90,10,10,10,9,10
91,6,6,7,7,7
92,7,7,7,7,7
93,6,6,8,8,7
94,6,6,8,7,8
95,8,8,8,8,8
96,7,8,8,8,8
97,7,7,7,6,7
98,7,7,7,7,7
99,8,8,9,7,9
100,8,8,8,8,8
101,5,6,8,8,8
102,8,8,8,8,8
103,9,9,9,9,9
104,7,7,7,6,7
105,8,8,8,8,8
106,8,8,8,7,8
107,7,6,7,5,6
108,9,9,9,9,9
109,5,5,5,6,8
110,8,8,8,7,8
111,9,9,9,9,9
112,4,4,6,5,6
113,6,6,5,6,6
114,7,7,7,7,7
115,7,7,7,6,7
116,3,3,5,4,5
117,8,8,8,8,8
118,6,6,6,6,6
119,6,7,7,7,7
120,7,8,8,7,8
121,6,6,6,6,7
122,5,6,8,7,7
123,4,4,7,4,6
124,7,7,7,7,7
125,6,6,7,6,7
126,6,6,7,6,6
127,9,9,8,7,8
128,5,5,6,6,6
129,7,8,8,8,8
130,5,6,6,7,7
131,7,8,9,9,9
132,7,7,5,5,5
133,6,6,6,5,6
134,7,7,7,6,6
135,6,6,7,7,7
136,6,7,8,8,8
137,5,4,6,5,5
138,4,4,4,6,6
139,3,3,4,4,4
140,6,5,8,7,8
141,8,8,8,8,9
142,9,9,10,10,10
143,5,5,6,5,5
144,4,5,6,4,6
145,4,5,5,4,6
146,5,5,5,5,5
147,8,8,8,8,8
148,5,4,6,5,5
149,6,6,6,6,6
150,6,6,7,6,7
151,7,7,8,8,8
152,7,7,7,7,7
153,6,6,6,6,6
154,10,10,11,10,10
155,5,5,5,5,5
156,8,8,8,7,7
157,4,5,5,5,5
158,5,5,6,6,6
159,6,6,8,7,8
160,6,6,6,5,6
161,7,7,8,7,7
162,6,6,6,6,6
163,9,9,9,9,9
164,8,8,8,6,7
165,7,7,8,7,8
166,8,8,8,8,8
167,8,8,8,7,8
168,4,4,5,5,5
169,5,5,6,6,6
170,5,5,5,6,5
171,5,5,4,5,5
172,7,7,7,6,6
173,7,7,7,7,7
174,7,7,6,6,6
175,8,8,8,8,8
176,6,6,6,6,6
