次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,6,10,10,10,10
2,8,8,8,7,8
3,6,8,8,7,8
4,9,11,11,11,11
5,7,7,8,8,8
6,8,8,7,8,7
7,8,9,9,9,9
8,9,9,9,9,9
9,4,7,8,8,9
10,10,10,10,10,10
11,6,7,7,7,7
12,8,8,8,8,8
13,9,9,9,9,9
14,8,8,8,8,8
15,5,7,7,7,7
16,8,8,8,8,8
17,8,9,9,9,9
18,7,7,7,7,7
19,7,7,7,7,7
20,8,8,8,8,7
21,8,9,9,9,9
22,7,9,9,9,9
23,7,7,7,7,7
24,6,6,7,6,7
25,4,10,10,10,10
26,8,8,8,8,8
27,8,9,9,9,9
28,8,8,8,8,8
29,6,7,7,7,6
30,8,8,8,8,8
31,9,9,9,9,9
32,9,10,10,10,10
33,8,8,8,8,8
34,6,10,10,10,10
35,8,10,10,10,10
36,8,9,9,9,9
37,6,8,8,8,8
38,6,6,8,8,8
39,7,7,7,7,7
40,5,10,10,10,10
41,8,8,8,7,8
42,8,8,8,7,8
43,8,9,9,9,9
44,8,10,10,10,10
45,7,8,8,7,8
46,8,8,8,8,8
47,6,7,7,8,8
48,5,4,6,6,6
49,7,8,8,8,8
50,9,9,9,9,9
51,5,7,8,8,8
52,7,9,9,9,9
53,8,10,10,10,10
54,7,9,9,8,9
55,7,7,7,7,7
56,8,8,8,7,7
57,8,9,9,8,9
58,8,9,9,9,9
59,11,11,11,11,11
60,6,7,6,6,6
61,5,8,9,7,9
62,7,9,9,9,9
63,9,10,10,10,10
64,8,9,9,9,9
65,9,9,9,9,9
66,6,7,7,7,7
67,5,7,7,7,7
68,6,6,7,6,7
69,5,7,7,5,7
70,5,10,10,10,10
71,7,7,7,7,7
72,4,7,7,6,7
73,8,8,7,6,7
74,8,8,8,8,8
75,7,10,10,10,10
76,8,8,8,8,8
77,8,8,8,8,8
78,8,10,10,10,10
79,5,5,5,5,5
80,8,8,8,8,8
81,4,5,6,6,6
82,5,5,5,5,5
83,8,9,9,9,9
84,7,8,8,8,8
85,8,8,8,8,8
86,8,9,9,9,9
87,8,8,8,8,8
88,6,6,7,6,7
89,11,11,11,11,11
90,9,9,9,9,9
91,8,9,9,9,9
92,7,8,8,8,8
93,8,9,9,9,9
94,10,10,10,10,10
95,6,7,7,7,7
96,8,8,8,8,8
97,9,9,9,9,9
98,7,7,7,7,7
99,8,8,8,7,8
100,6,7,8,8,8
101,7,7,8,7,8
102,8,10,10,10,10
103,7,8,8,8,8
104,6,7,7,7,7
105,6,7,9,8,8
106,8,8,8,8,8
107,7,7,7,7,7
108,6,8,9,9,9
109,8,9,9,9,9
110,8,9,9,9,9
111,6,7,7,7,7
112,7,7,7,7,7
113,7,6,7,6,7
114,7,7,7,7,7
115,8,8,8,8,8
116,8,8,8,7,8
117,8,8,8,8,8
118,4,6,7,7,7
119,5,8,8,8,8
120,8,8,8,8,8
121,11,11,11,11,11
122,6,10,10,10,10
123,8,10,10,10,10
124,7,9,9,9,9
125,10,10,10,10,10
126,6,7,8,8,8
127,7,10,10,10,10
128,7,7,7,7,7
129,7,9,9,9,9
130,9,9,9,9,9
131,9,10,10,10,10
132,6,6,6,6,6
133,10,11,11,11,11
134,6,7,7,7,7
135,4,8,8,8,8
136,8,8,8,8,8
137,9,9,9,9,9
138,3,8,8,8,8
139,8,9,9,9,9
140,8,8,8,6,7
141,9,10,10,10,10
142,7,7,7,7,7
143,5,5,6,5,6
144,8,8,8,8,8
145,7,7,8,6,7
146,9,9,9,9,9
147,7,7,8,7,8
148,7,8,8,8,8
149,7,8,8,7,8
150,8,9,9,9,9
151,7,8,8,8,8
152,9,9,9,9,9
153,8,8,8,8,8
154,8,8,8,8,8
155,8,9,9,9,9
156,6,7,8,8,8
157,5,9,9,9,9
158,7,8,8,7,8
159,8,8,8,8,8
160,8,9,9,9,9
161,8,8,8,8,8
162,10,10,10,10,10
163,8,9,9,9,9
164,7,8,8,8,8
165,5,7,7,7,8
166,11,11,11,11,11
167,7,11,11,11,11
168,7,10,10,10,10
169,7,7,6,7,6
170,5,6,7,6,7
171,8,8,8,8,8
172,8,9,9,9,9
173,9,9,9,9,9
174,9,10,10,10,10
175,7,8,9,9,9
176,8,9,9,9,9
177,7,7,7,7,7
178,7,7,7,8,8
179,10,11,11,11,11
180,7,9,8,9,8
181,10,10,10,10,10
182,8,9,9,9,9
183,8,9,9,9,9
184,5,5,7,7,7
185,8,8,8,8,8
186,8,10,10,10,10
187,8,8,8,8,8
188,9,9,9,9,9
189,8,9,9,9,9
190,5,11,11,11,11
191,8,9,9,9,9
192,6,8,8,8,8
193,7,7,7,7,7
194,10,10,10,10,10
195,10,11,11,10,11
196,8,8,8,8,8
197,8,8,8,8,8
