次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,7,7,7,6,6
2,7,7,7,7,7
3,6,6,5,6,5
4,9,9,9,9,9
5,7,7,7,8,8
6,5,5,6,5,6
7,7,7,8,6,7
8,6,6,6,6,6
9,6,6,6,7,7
10,7,7,8,6,8
11,7,6,7,6,7
12,8,8,8,7,8
13,4,4,5,4,5
14,8,8,8,8,8
15,3,3,4,4,5
16,8,8,7,6,7
17,7,7,7,7,7
18,7,7,6,7,7
19,6,6,6,5,6
20,6,6,7,6,6
21,9,9,9,9,9
22,7,7,6,7,6
23,6,6,7,6,7
24,6,6,6,6,6
25,6,5,6,4,6
26,6,6,9,9,8
27,5,5,6,6,6
28,7,7,6,7,6
29,8,8,8,8,8
30,6,6,6,6,6
31,9,9,9,9,9
32,7,7,7,5,7
33,8,8,9,9,9
34,6,6,6,6,6
35,5,5,6,5,6
36,7,6,6,6,6
37,7,7,7,7,7
38,7,7,7,6,7
39,7,7,6,6,6
40,5,5,5,5,5
41,8,8,9,7,9
42,6,6,7,7,7
43,7,7,7,6,7
44,6,7,8,5,8
45,5,5,6,6,6
46,8,8,8,8,8
47,7,7,7,7,7
48,4,4,5,4,5
49,7,7,7,7,7
50,7,6,8,6,8
51,8,8,8,8,8
52,7,7,7,7,7
53,6,6,6,5,5
54,5,5,6,6,6
55,6,6,6,6,5
56,6,6,7,6,7
57,7,7,7,5,6
58,7,7,6,8,6
59,7,7,7,7,7
60,6,5,4,4,5
61,7,7,8,8,8
62,3,3,4,5,6
63,8,8,8,8,8
64,5,4,6,5,5
65,6,6,6,6,7
66,7,8,8,8,8
67,5,5,7,7,7
68,7,7,7,7,7
69,8,8,7,6,6
70,6,5,6,5,6
71,8,8,8,8,8
72,9,9,9,8,8
73,6,6,6,6,6
74,8,8,8,8,8
75,6,6,6,6,6
76,6,6,6,6,6
77,8,8,8,7,8
78,7,7,7,7,7
79,7,6,6,4,6
80,5,5,6,6,7
81,8,8,7,7,7
82,7,7,6,6,6
83,9,9,10,10,10
84,9,9,8,8,8
85,3,4,5,5,6
86,7,7,8,8,8
87,6,6,6,6,6
88,8,8,7,7,6
89,7,7,7,7,7
90,6,6,6,6,6
91,8,8,6,7,6
92,8,8,8,8,8
93,5,6,6,5,7
94,7,7,7,6,7
95,7,7,7,7,7
96,3,4,5,7,6
97,6,6,6,6,6
98,7,6,8,6,6
99,7,7,7,7,7
100,4,4,6,5,5
101,8,8,8,7,8
102,7,7,7,7,7
103,2,3,3,5,6
104,6,7,7,6,5
105,6,6,6,7,6
106,5,5,5,5,5
107,8,8,8,7,8
108,6,6,6,5,6
109,8,8,8,7,8
110,8,8,9,9,9
111,7,7,7,7,7
112,7,7,8,7,7
113,7,7,7,8,7
114,7,8,8,8,8
115,5,5,7,7,7
116,6,6,7,6,6
117,7,7,7,7,7
118,8,8,8,8,8
119,7,8,7,8,7
120,7,8,7,7,8
121,4,4,4,4,5
122,6,7,7,7,6
123,6,6,6,6,6
124,8,8,8,6,8
125,7,7,7,7,7
126,5,5,5,5,5
127,8,8,8,7,7
128,7,7,6,6,7
129,7,7,8,7,8
130,9,8,9,8,9
131,7,7,7,6,7
132,8,8,8,6,8
133,7,7,8,7,8
134,7,8,8,6,8
135,7,7,7,6,7
136,6,5,6,6,7
137,6,5,7,6,7
138,7,7,7,6,6
139,6,6,6,6,6
140,8,8,8,8,8
141,7,6,7,7,9
142,6,6,6,7,6
143,7,7,7,6,7
144,5,6,6,6,6
145,4,5,5,4,5
146,7,7,7,7,7
