¦¸¼Æ,time
NCB
100,flows
1,572
2,548
3,534
4,642
5,598
6,671
7,546
8,576
9,613
10,652
11,542
12,547
13,565
14,540
15,563
16,628
17,564
18,578
19,535
20,521
140,flows
1,806
2,798
3,767
4,773
5,859
6,741
7,779
8,738
9,738
10,730
11,798
12,720
13,746
14,794
15,822
16,744
17,748
18,720
19,818
20,688
180,flows
1,864
2,904
3,881
4,1021
5,1121
6,923
7,910
8,909
9,968
10,949
11,948
12,906
13,881
14,875
15,1032
16,980
17,851
18,979
19,1127
20,844
220,flows
1,1045
2,1144
3,1305
4,1199
5,1025
6,1119
7,1222
8,1080
9,1099
10,1203
11,1135
12,1091
13,1090
14,1255
15,1023
16,1024
17,1144
18,1166
19,1034
20,1145
260,flows
1,1241
2,1248
3,1311
4,1339
5,1251
6,1393
7,1365
8,1305
9,1258
10,1227
11,1282
12,1223
13,1253
14,1347
15,1250
16,1347
17,1257
18,1333
19,1343
20,1317
PB
100,flows
1,820
2,806
3,735
4,828
5,828
6,821
7,693
8,835
9,869
10,869
11,782
12,772
13,783
14,776
15,705
16,874
17,871
18,798
19,771
20,734
140,flows
1,1053
2,1064
3,1005
4,995
5,1170
6,1009
7,1069
8,1029
9,1054
10,982
11,1029
12,975
13,980
14,990
15,1078
16,968
17,1024
18,985
19,1119
20,970
180,flows
1,1184
2,1232
3,1217
4,1368
5,1375
6,1209
7,1229
8,1221
9,1262
10,1254
11,1239
12,1171
13,1212
14,1127
15,1250
16,1264
17,1142
18,1235
19,1392
20,1152
220,flows
1,1431
2,1379
3,1571
4,1487
5,1342
6,1437
7,1465
8,1449
9,1409
10,1553
11,1498
12,1486
13,1458
14,1528
15,1288
16,1290
17,1455
18,1444
19,1356
20,1383
260,flows
1,1589
2,1510
3,1687
4,1659
5,1625
6,1713
7,1607
8,1644
9,1574
10,1668
11,1671
12,1625
13,1613
14,1622
15,1654
16,1720
17,1507
18,1753
19,1672
20,1654
STB
100,flows
1,1106
2,995
3,916
4,944
5,1078
6,1004
7,962
8,1076
9,1078
10,1000
11,996
12,928
13,1023
14,1001
15,955
16,1167
17,1055
18,935
19,952
20,923
140,flows
1,1408
2,1416
3,1303
4,1429
5,1484
6,1308
7,1350
8,1329
9,1324
10,1284
11,1348
12,1276
13,1277
14,1328
15,1338
16,1369
17,1358
18,1176
19,1513
20,1240
180,flows
1,1545
2,1678
3,1636
4,1740
5,1838
6,1813
7,1617
8,1649
9,1772
10,1651
11,1684
12,1628
13,1584
14,1554
15,1740
16,1662
17,1465
18,1711
19,1951
20,1550
220,flows
1,1927
2,1889
3,2230
4,2105
5,1857
6,1984
7,2030
8,1946
9,2101
10,2038
11,1981
12,1888
13,1807
14,2189
15,1821
16,1743
17,2032
18,2098
19,1817
20,2031
260,flows
1,2236
2,2120
3,2361
4,2281
5,2276
6,2365
7,2352
8,2315
9,2203
10,2240
11,2321
12,2302
13,2276
14,2342
15,2169
16,2361
17,2154
18,2238
19,2343
20,2379
JDPS
100,flows
1,897
2,851
3,802
4,870
5,915
6,1011
7,769
8,901
9,988
10,962
11,870
12,953
13,891
14,823
15,880
16,1028
17,978
18,927
19,914
20,863
140,flows
1,1311
2,1268
3,1203
4,1231
5,1378
6,1218
7,1195
8,1192
9,1219
10,1163
11,1340
12,1155
13,1100
14,1152
15,1336
16,1151
17,1225
18,1193
19,1321
20,1100
180,flows
1,1394
2,1463
3,1544
4,1629
5,1690
6,1558
7,1407
8,1455
9,1492
10,1474
11,1603
12,1454
13,1456
14,1370
15,1459
16,1504
17,1381
18,1588
19,1690
20,1384
220,flows
1,1721
2,1590
3,1973
4,1844
5,1696
6,1725
7,1823
8,1713
9,1785
10,1837
11,1699
12,1771
13,1661
14,1967
15,1559
16,1623
17,1791
18,1707
19,1667
20,1776
260,flows
1,1970
2,1947
3,2053
4,1965
5,1923
6,2068
7,1971
8,2043
9,1916
10,1974
11,2052
12,1951
13,1995
14,1989
15,1936
16,2074
17,1881
18,2239
19,2011
20,2122
FS
100,flows
1,1045
2,1012
3,908
4,1027
5,1050
6,1044
7,907
8,1063
9,1051
10,981
11,926
12,1000
13,945
14,975
15,932
16,1148
17,1029
18,1009
19,927
20,994
140,flows
1,1386
2,1394
3,1308
4,1377
5,1455
6,1295
7,1354
8,1322
9,1346
10,1332
11,1396
12,1231
13,1277
14,1361
15,1352
16,1259
17,1298
18,1252
19,1458
20,1238
180,flows
1,1557
2,1648
3,1628
4,1821
5,1902
6,1680
7,1550
8,1656
9,1697
10,1611
11,1697
12,1557
13,1563
14,1523
15,1658
16,1641
17,1412
18,1645
19,1919
20,1464
220,flows
1,1918
2,1875
3,2253
4,2058
5,1998
6,1992
7,2040
8,1990
9,1926
10,2027
11,1993
12,1944
13,1792
14,2112
15,1817
16,1746
17,1993
18,2044
19,1866
20,1909
260,flows
1,2220
2,2113
3,2361
4,2261
5,2252
6,2300
7,2384
8,2304
9,2287
10,2193
11,2265
12,2286
13,2308
14,2340
15,2230
16,2290
17,2153
18,2419
19,2361
20,2378
