次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
1,4,9,9,9,9
2,8,10,10,10,10
3,8,9,9,9,9
4,6,10,10,10,10
5,11,11,11,11,11
6,8,8,9,9,9
7,7,8,8,8,8
8,6,7,7,7,7
9,8,8,9,9,9
10,5,4,7,5,7
11,7,7,7,7,7
12,7,7,7,6,7
13,8,8,8,8,8
14,8,8,9,8,9
15,2,2,4,4,5
16,6,9,9,9,9
17,9,9,9,9,9
18,4,9,9,9,9
19,6,8,8,7,7
20,7,8,8,7,8
21,10,11,11,11,11
22,8,8,8,8,8
23,6,7,7,7,7
24,9,9,9,9,9
25,7,7,7,7,7
26,8,8,8,8,8
27,7,10,10,10,10
28,5,5,6,6,7
29,6,7,7,7,7
30,4,9,9,9,9
31,4,4,5,6,6
32,8,9,9,9,9
33,9,9,9,9,9
34,7,10,10,10,10
35,9,9,9,9,9
36,8,8,8,8,8
37,5,5,5,5,6
38,7,8,8,8,8
39,9,9,9,9,9
40,8,9,9,9,9
41,7,10,10,10,10
42,7,8,8,8,8
43,6,8,8,8,8
44,4,7,8,8,8
45,5,6,5,4,5
46,8,8,9,9,9
47,8,8,8,8,8
48,7,9,9,9,9
49,4,6,7,7,7
50,6,6,8,8,8
51,9,9,9,9,9
52,6,6,7,6,7
53,7,9,9,9,9
54,7,10,10,10,10
55,7,8,7,8,8
56,7,10,10,10,10
57,11,11,11,11,11
58,10,10,10,10,10
59,9,9,9,9,9
60,4,4,6,4,5
61,5,7,7,7,7
62,7,8,9,9,9
63,7,9,9,9,9
64,7,7,7,7,7
65,8,8,7,6,7
66,3,8,8,8,8
67,5,7,8,8,8
68,5,7,7,7,7
69,9,9,9,9,9
70,9,9,9,9,9
71,4,4,7,7,6
72,8,8,8,8,8
73,8,8,8,8,8
74,8,8,8,8,8
75,6,8,8,7,8
76,8,7,8,7,7
77,5,10,10,10,10
78,8,10,10,10,10
79,6,8,8,7,8
80,7,7,7,7,7
81,8,8,8,8,8
82,8,8,8,8,8
83,8,8,8,8,8
84,6,8,8,8,8
85,9,10,10,10,10
86,7,7,7,7,7
87,7,8,9,9,9
88,4,4,6,5,6
89,8,8,8,8,8
90,9,9,9,9,9
91,6,8,8,8,8
92,7,10,10,10,10
93,8,8,8,8,8
94,7,8,8,8,8
95,6,6,6,6,6
96,8,8,8,8,8
97,6,6,6,6,7
98,8,8,8,8,8
99,2,6,8,7,8
100,8,8,8,8,8
